id,platform,cycle,lat,lon,date
3901159_180,3901159,180,1.24682,-109.6006,2017-06-18
5904604_079,5904604,79,1.877,-115.943,2017-06-17
5904497_182,5904497,182,-0.74105,-101.52336,2017-06-17
5904294_110,5904294,110,1.345,-95.194,2017-06-17
5904289_110,5904289,110,2.025,-102.512,2017-06-17
5903836_195,5903836,195,3.695,-102.664,2017-06-17
5904499_180,5904499,180,-0.45289,-116.27798,2017-06-17
3901148_155,3901148,155,-1.167,-104.054,2017-06-17
3901162_180,3901162,180,-0.34189,-107.13322,2017-06-16
5904287_110,5904287,110,0.728,-110.463,2017-06-16
3901157_155,3901157,155,-0.498,-123.693,2017-06-16
3901233_050,3901233,50,-2.6189,-86.16299,2017-06-16
3901173_118,3901173,118,-1.804,-107.46,2017-06-16
3901234_050,3901234,50,-3.08366,-91.07961,2017-06-15
5904603_079,5904603,79,-0.755,-93.289,2017-06-15
5903838_186,5903838,186,0.464,-119.212,2017-06-15
5904288_110,5904288,110,-0.417,-92.128,2017-06-15
5904273_155,5904273,155,1.668,-110.58,2017-06-15
3901182_118,3901182,118,0.658,-102.961,2017-06-15
5903844_183,5903844,183,0.241,-123.425,2017-06-15
5903865_195,5903865,195,-0.38,-106.854,2017-06-15
3901179_110,3901179,110,2.025,-93.041,2017-06-15
3901171_127,3901171,127,0.874,-112.829,2017-06-15
3901264_094,3901264,94,1.62572,-88.03345,2017-06-14
3901262_094,3901262,94,-0.00257,-87.17762,2017-06-14
5903839_189,5903839,189,-0.377,-103.971,2017-06-14
3901260_097,3901260,97,-1.06001,-88.34164,2017-06-14
5903869_191,5903869,191,0.197,-124.865,2017-06-14
3901202_047,3901202,47,1.12,-99.969,2017-06-14
4902303_047,4902303,47,4.192,-101.027,2017-06-14
3901168_118,3901168,118,-0.716,-102.483,2017-06-14
3901261_094,3901261,94,1.18039,-88.37405,2017-06-13
3901164_180,3901164,180,1.84702,-89.40093,2017-06-13
3901163_179,3901163,179,1.26191,-96.22106,2017-06-13
3901160_180,3901160,180,1.15046,-108.28946,2017-06-13
5903864_189,5903864,189,-1.512,-101.235,2017-06-13
3900571_380,3900571,380,1.249,-85.032,2017-06-13
4902301_047,4902301,47,3.575,-124.97,2017-06-13
3901115_195,3901115,195,-2.783,-90.061,2017-06-13
5904544_102,5904544,102,0.879,-123.08,2017-06-13
3901152_154,3901152,154,-0.363,-97.072,2017-06-13
3901034_195,3901034,195,1.069,-113.013,2017-06-13
3901153_154,3901153,154,-0.841,-101.165,2017-06-13
3901154_154,3901154,154,0.332,-97.124,2017-06-13
5904307_178,5904307,178,1.08687,-112.23901,2017-06-13
4901503_209,4901503,209,2.26634,-104.13381,2017-06-12
5904277_116,5904277,116,0.491,-110.11,2017-06-12
4901568_101,4901568,101,-0.92,-124.944,2017-06-12
5904275_116,5904275,116,-1.84,-102.829,2017-06-12
3901151_154,3901151,154,1.979,-98.067,2017-06-12
3901177_110,3901177,110,2.255,-101.956,2017-06-12
4901553_102,4901553,102,2.62,-115.179,2017-06-12
3901176_110,3901176,110,1.578,-97.442,2017-06-12
3901197_079,3901197,79,-4.621,-112.668,2017-06-12
3900674_215,3900674,215,-0.249,-90.063,2017-06-12
3901186_118,3901186,118,-3.455,-105.951,2017-06-11
3901150_154,3901150,154,-3.22,-101.614,2017-06-11
3900673_215,3900673,215,0.316,-123.673,2017-06-11
3901178_110,3901178,110,1.644,-91.335,2017-06-11
3901159_179,3901159,179,1.65034,-110.75726,2017-06-11
5904497_181,5904497,181,-0.69473,-101.82476,2017-06-10
5903559_225,5903559,225,-1.055,-99.23,2017-06-10
4902300_047,4902300,47,-2.004,-113.644,2017-06-10
3901149_154,3901149,154,-3.236,-97.975,2017-06-10
3901254_045,3901254,45,4.223,-108.172,2017-06-10
5904547_101,5904547,101,-4.674,-104.14,2017-06-10
5904499_179,5904499,179,-0.64919,-116.80051,2017-06-10
3901162_179,3901162,179,-0.33381,-106.81636,2017-06-09
3901264_093,3901264,93,1.52285,-87.81951,2017-06-09
3901262_093,3901262,93,-0.17765,-87.36093,2017-06-09
3901260_096,3901260,96,-1.05895,-88.34513,2017-06-09
5902247_214,5902247,214,-3.514,-92.106,2017-06-09
5902236_214,5902236,214,0.529,-124.496,2017-06-09
3901203_045,3901203,45,1.875,-119.711,2017-06-09
5903557_224,5903557,224,-1.675,-119.975,2017-06-09
5903837_194,5903837,194,4.364,-89.379,2017-06-09
