id,platform,cycle,lat,lon,date
3901173_112,3901173,112,-1.136,-113.115,2017-04-17
5904603_073,5904603,73,0.165,-93.456,2017-04-16
5903838_180,5903838,180,0.143,-121.206,2017-04-16
5904288_104,5904288,104,-0.673,-93.036,2017-04-16
5903844_177,5903844,177,0.808,-123.076,2017-04-16
5904273_149,5904273,149,1.14,-116.321,2017-04-16
3901182_112,3901182,112,1.215,-108.975,2017-04-16
5903865_189,5903865,189,-0.826,-108.705,2017-04-16
3901179_104,3901179,104,1.203,-95.682,2017-04-16
3901171_121,3901171,121,0.293,-117.833,2017-04-16
5904497_173,5904497,173,-0.57228,-103.75491,2017-04-15
3901264_082,3901264,82,1.69153,-85.23647,2017-04-15
5903839_183,5903839,183,0.435,-104.612,2017-04-15
5903869_185,5903869,185,0.349,-124.22,2017-04-15
3901202_041,3901202,41,0.397,-102.332,2017-04-15
3901262_082,3901262,82,0.72697,-87.40726,2017-04-15
4902303_041,4902303,41,2.84,-100.639,2017-04-15
3901159_171,3901159,171,1.35962,-116.76289,2017-04-15
3901260_085,3901260,85,-1.06766,-88.39069,2017-04-15
3901168_112,3901168,112,0.043,-103.908,2017-04-15
5904499_171,5904499,171,-1.00245,-120.22582,2017-04-14
3900739_265,3900739,265,1.91,-91.803,2017-04-14
3901162_171,3901162,171,-0.5255,-108.38737,2017-04-14
5903864_183,5903864,183,-1.67,-104.43,2017-04-14
3901115_189,3901115,189,-2.511,-90.716,2017-04-14
3901034_189,3901034,189,0.794,-117.458,2017-04-14
5904544_096,5904544,96,0.998,-123.899,2017-04-14
3901152_148,3901152,148,-0.753,-99.131,2017-04-14
3901154_148,3901154,148,-0.6,-99.337,2017-04-14
3901153_148,3901153,148,-0.374,-103.269,2017-04-14
4901503_202,4901503,202,2.37267,-107.15918,2017-04-13
5904277_110,5904277,110,-0.047,-112.563,2017-04-13
5904275_110,5904275,110,-1.88,-103.956,2017-04-13
3901177_104,3901177,104,1.898,-102.905,2017-04-13
4901553_096,4901553,96,2.906,-113.091,2017-04-13
3901190_073,3901190,73,-3.416,-109.982,2017-04-13
3901176_104,3901176,104,0.881,-98.159,2017-04-13
3901197_073,3901197,73,-2.249,-108.12,2017-04-13
3900674_209,3900674,209,-0.474,-90.142,2017-04-13
5902249_206,5902249,206,-2.488,-123.96,2017-04-12
4902304_040,4902304,40,4.71,-92.981,2017-04-12
3901186_112,3901186,112,-4.035,-102.203,2017-04-12
3901150_148,3901150,148,-2.575,-102.654,2017-04-12
3901194_073,3901194,73,-4.897,-96.22,2017-04-12
3900673_209,3900673,209,1.127,-123.914,2017-04-12
3901178_104,3901178,104,1.023,-90.377,2017-04-12
5903559_219,5903559,219,-1.189,-103.419,2017-04-11
4902300_041,4902300,41,-2.848,-112.58,2017-04-11
3901160_171,3901160,171,1.0073,-113.69216,2017-04-11
3901254_039,3901254,39,4.419,-105.445,2017-04-11
5904547_095,5904547,95,-5.249,-105.286,2017-04-11
3901149_148,3901149,148,-3.078,-98.979,2017-04-11
3901164_171,3901164,171,0.67092,-90.94493,2017-04-10
3901163_170,3901163,170,0.61609,-98.83898,2017-04-10
5903801_201,5903801,201,-2.246,-122.377,2017-04-10
3901264_081,3901264,81,1.60543,-85.31226,2017-04-10
5904307_169,5904307,169,-0.4751,-118.02738,2017-04-10
5902247_208,5902247,208,-2.714,-94.785,2017-04-10
3901203_039,3901203,39,2.276,-117.032,2017-04-10
5902236_208,5902236,208,1.124,-124.426,2017-04-10
5903837_188,5903837,188,4.236,-87.953,2017-04-10
3901262_081,3901262,81,0.26468,-87.42855,2017-04-10
5903557_218,5903557,218,-1.881,-119.644,2017-04-10
3900571_374,3900571,374,3.139,-85.144,2017-04-10
3901260_084,3901260,84,-1.0604,-88.38899,2017-04-10
5903565_211,5903565,211,0.206,-114.244,2017-04-09
5904604_072,5904604,72,2.235,-114.993,2017-04-08
5904294_103,5904294,103,1.621,-96.089,2017-04-08
5904497_172,5904497,172,-0.19342,-103.78425,2017-04-08
5904289_103,5904289,103,1.485,-106.419,2017-04-08
5903836_188,5903836,188,3.006,-103.117,2017-04-08
3901159_170,3901159,170,0.66799,-117.15242,2017-04-08
3901148_148,3901148,148,-1.321,-110.566,2017-04-08
5904499_170,5904499,170,-0.23398,-120.49859,2017-04-07
3901233_043,3901233,43,-2.96145,-86.31485,2017-04-07
5904287_103,5904287,103,0.293,-114.752,2017-04-07
3901162_170,3901162,170,-0.60424,-108.34479,2017-04-07
3901157_148,3901157,148,0.406,-123.478,2017-04-07
3901234_043,3901234,43,-3.35149,-91.39876,2017-04-07
3901173_111,3901173,111,-0.963,-113.052,2017-04-07
5904603_072,5904603,72,0.191,-93.513,2017-04-06
5903838_179,5903838,179,1.284,-120.711,2017-04-06
5904288_103,5904288,103,-0.606,-93.391,2017-04-06
5903844_176,5903844,176,1.584,-122.704,2017-04-06
5904273_148,5904273,148,0.268,-116.878,2017-04-06
3901182_111,3901182,111,0.953,-109.452,2017-04-06
3901179_103,3901179,103,1.019,-95.628,2017-04-06
5903865_188,5903865,188,-0.93,-108.787,2017-04-06
3901171_120,3901171,120,-0.237,-118.465,2017-04-06
3901264_080,3901264,80,1.25376,-85.31653,2017-04-05
5903839_182,5903839,182,0.555,-104.996,2017-04-05
5903869_184,5903869,184,0.732,-123.577,2017-04-05
4902303_040,4902303,40,3.251,-100.458,2017-04-05
3901202_040,3901202,40,0.569,-102.649,2017-04-05
3901262_080,3901262,80,-0.04581,-87.37792,2017-04-05
