month,count,sum,mean
1,31,-0.8589652459743969,-0.02770855632175474
2,28,-0.7694693034580987,-0.027481046552074954
3,31,-0.7060555637715793,-0.02277598592811546
4,30,-0.3651868144248202,-0.012172893814160674
5,31,-0.2873537542207444,-0.009269475942604657
6,30,-0.4364384074060907,-0.014547946913536357
7,31,0.3532680583454219,0.011395743817594254
8,31,0.04558997371260605,0.0014706443133098725
9,30,-0.12898250670191805,-0.004299416890063935
10,31,0.6396024678347763,0.020632337672089558
11,29,-0.12886153671307082,-0.004443501265967959
12,31,-0.5529495426661529,-0.017837082021488804
