month,count,sum,mean
1,31,1.1677925743038335,0.03767072820334947
2,28,0.3138374114995039,0.011208478982125139
3,31,-0.047806251712682664,-0.0015421371520220213
4,30,0.014601838893695282,0.00048672796312317605
5,31,-0.4119640651978213,-0.013289163393478107
6,30,-0.5373797351268189,-0.01791265783756063
7,31,-0.7283343213979119,-0.0234946555289649
8,31,-1.2845805732947395,-0.04143808300950773
9,30,-1.1487532295236054,-0.038291774317453516
10,31,-0.9775168696142627,-0.031532802245621376
11,30,-0.5886860611201189,-0.019622868704003964
12,31,-0.41340266162684597,-0.013335569729898257
