month,count,sum,mean
1,31,-1.442593094207681,-0.04653526110347358
2,28,-1.5232708759829086,-0.054402531285103875
3,31,-2.2320722560311284,-0.07200233083971382
4,30,-1.8791662616617955,-0.06263887538872652
5,31,-1.5930867682805299,-0.051389895750984835
6,30,-0.7985849351687221,-0.026619497838957402
7,31,-1.003004248482756,-0.03235497575750826
8,31,-0.899150960413098,-0.0290048696907451
9,30,-0.5883729386680999,-0.019612431288936662
10,31,-0.5397353902724803,-0.017410819041047753
11,30,-1.199118957776679,-0.0399706319258893
12,31,-1.151028634752396,-0.037129955959754705
