month,count,sum,mean
1,31,0.016435804000000005,0.0005301872258064518
2,28,0.01474057199999999,0.0005264489999999997
3,31,-0.043546272000000004,-0.0014047184516129034
4,30,-0.41968911600000003,-0.0139896372
5,31,-0.7171866715720001,-0.023135053921677425
6,30,-0.9514326157,-0.031714420523333335
7,31,-1.09258205672,-0.03524458247483871
8,31,-0.855252832336,-0.027588801043096776
9,30,-0.986068261892,-0.03286894206306667
10,31,-1.138549652184,-0.03672740813496774
11,29,-1.1421868001320001,-0.03938575172868966
12,31,-1.5972285563639999,-0.05152350181819355
