month,count,sum,mean
1,31,-0.33933372332849165,-0.010946249139628763
2,28,-0.4644616430800102,-0.01658791582428608
3,31,-0.11480232231670189,-0.003703300719893609
4,30,-0.6999772058735418,-0.02333257352911806
5,31,-0.7060479264415286,-0.022775739562629953
6,30,-0.9997059207068325,-0.03332353069022775
7,31,-0.6617352309035374,-0.02134629777108185
8,31,-0.7504177018972173,-0.02420702264184572
9,30,-1.1585940752695927,-0.038619802508986424
10,31,-0.0069999941578164845,-0.00022580626315537046
11,30,0.03466789026522422,0.0011555963421741406
12,31,0.5717912703828917,0.0184448796897707
