month,count,sum,mean
1,31,-1.902105179387915,-0.06135823159315854
2,28,-2.1275819357316528,-0.07598506913327331
3,31,-1.269980481213943,-0.04096711229722397
4,30,-0.9818697605239566,-0.03272899201746522
5,31,-0.7357108815125196,-0.02373260908104902
6,12,-0.38890351190363914,-0.032408625991969926
7,0,0.0,
8,0,0.0,
9,27,-0.5928745437375459,-0.021958316434723922
10,31,-0.32244289201923365,-0.010401383613523666
11,30,0.11363870239536444,0.003787956746512148
12,31,0.13841603378922368,0.004465033348039473
