month,count,sum,mean
1,31,-2.0610287366117492,-0.06648479795521772
2,28,-1.7142072532936705,-0.06122168761763109
3,31,-1.868890775671991,-0.06028679921522552
4,30,-1.1312005770662479,-0.03770668590220826
5,31,-0.9191475453415946,-0.029649920817470792
6,30,-0.6817045871863635,-0.02272348623954545
7,31,-1.4521064895905156,-0.046842144825500504
8,19,-0.9635585801924343,-0.05071360948381234
9,19,-0.8453930065350528,-0.044494368765002776
10,31,-1.2215419281090951,-0.039404578326099844
11,30,-1.6972695723641722,-0.05657565241213907
12,31,-1.5893792386606842,-0.051270298021312395
