month,count,sum,mean
1,31,0.055926609088000005,0.0018040841641290325
2,28,-0.178325721056,-0.006368775752
3,31,-0.751571618476,-0.024244245757290322
4,30,-0.125738536,-0.004191284533333334
5,31,-0.530815195232,-0.017123070813935486
6,30,-0.15496804400000003,-0.005165601466666668
7,31,-0.05535992,-0.001785803870967742
8,31,-0.36107117200000005,-0.011647457161290325
9,30,-0.664173057408,-0.022139101913600003
10,31,-0.43133949196800003,-0.013914177160258065
11,30,-0.10742488691200001,-0.0035808295637333337
12,31,0.31010826,0.010003492258064517
