month,count,sum,mean
1,31,-1.8395193023241379,-0.059339332333036704
2,28,-1.5512894539571855,-0.0554031947841852
3,31,-1.4671368506058038,-0.04732699518083238
4,30,-0.7388745124113939,-0.02462915041371313
5,31,-0.8190023636540925,-0.026419431085615886
6,30,-0.6183232966299663,-0.02061077655433221
7,31,-1.3790361599010827,-0.04448503741616396
8,31,-1.4543408230348547,-0.046914220097898536
9,30,-1.3947702162932394,-0.04649234054310798
10,31,-1.3075494245166264,-0.04217901369408472
11,30,-1.5837137804617931,-0.052790459348726435
12,31,-1.5502712039437803,-0.05000874851431549
