month,count,sum,mean
1,31,-0.8468495936619979,-0.027317728827806382
2,28,-0.9080709698695667,-0.032431106066770236
3,31,-0.5717198015892362,-0.01844257424481407
4,30,-0.44895479907378666,-0.014965159969126222
5,31,-0.4198975478616634,-0.013545082189085915
6,30,-0.6032378705577555,-0.02010792901859185
7,31,-0.04602704166130387,-0.001484743279396899
8,31,-0.12999015967481004,-0.004193230957251937
9,30,-0.42712763187099234,-0.014237587729033078
10,31,-0.216360845561234,-0.0069793821148785165
11,30,0.13905975590829509,0.004635325196943169
12,31,0.028404220537350148,0.0009162651786241983
