month,count,sum,mean
1,31,-0.025829826376054202,-0.0008332202056791678
2,28,-0.24496176383232915,-0.008748634422583184
3,31,-0.6525943997497617,-0.021051432249992313
4,30,-0.03143932315466703,-0.0010479774384889009
5,31,-0.23361182394740768,-0.007535865288626054
6,30,-0.22178917216134458,-0.007392972405378153
7,31,-0.7411585853651832,-0.023908341463393008
8,30,-0.3842792066321262,-0.012809306887737541
9,30,-0.7886395527607968,-0.02628798509202656
10,31,-0.4586235482595011,-0.014794308008371003
11,30,-0.2179821415727612,-0.007266071385758706
12,31,0.33141394948326364,0.010690772563976247
