month,count,sum,mean
1,31,-0.161526004444,-0.0052105162723870965
2,28,-0.5501025058760001,-0.019646518067
3,31,0.8161833754760001,0.026328495983096774
4,30,-0.425959548,-0.0141986516
5,31,-0.525856507988,-0.016963113160903227
6,28,0.065443140672,0.002337255024
7,31,-1.0658881582720001,-0.034383488976516136
8,31,-0.013166999383999999,-0.00042474191561290317
9,30,-0.202581260644,-0.006752708688133334
10,31,0.49005919925200003,0.01580836126619355
11,11,0.045215016000000004,0.004110456
12,31,0.681024511104,0.021968532616258064
