month,count,sum,mean
1,31,-0.1416857719768227,-0.004570508773445893
2,28,-1.0723096929248455,-0.03829677474731591
3,31,-1.1543836637017202,-0.03723818270005549
4,30,-0.9647571426488206,-0.032158571421627355
5,31,-0.8859273760969579,-0.02857830245474058
6,30,-0.7761185454215319,-0.02587061818071773
7,31,-0.9662414414973309,-0.031169078757978416
8,31,-1.3864115003026232,-0.044722951622665263
9,30,-1.5729853283025224,-0.05243284427675075
10,31,-1.261800152864888,-0.04070323073757703
11,30,-1.1019121572352186,-0.036730405241173956
12,31,-1.0988493270024693,-0.03544675248395062
