month,count,sum,mean
1,31,-0.6920462324877497,-0.02232407201573386
2,28,-0.8288405855928659,-0.029601449485459497
3,31,-0.43208969837177624,-0.013938377366831492
4,30,-0.6293802751711192,-0.020979342505703973
5,31,-0.6121590657535144,-0.019747066637210143
6,30,-0.8792671691004624,-0.029308905636682082
7,31,-0.3792292820353463,-0.012233202646301494
8,31,-0.35334558527347754,-0.011398244686241212
9,30,-0.6393304437635159,-0.021311014792117198
10,31,0.41242143435675704,0.013303917237314743
11,30,-0.030664267185149873,-0.0010221422395049957
12,30,0.30478043121224646,0.010159347707074882
