month,count,sum,mean
1,31,-0.8264087897519999,-0.026658348056516127
2,28,-1.1221419977040001,-0.040076499918000004
3,31,-0.501790621276,-0.01618679423470968
4,30,-0.7186140785880001,-0.023953802619600003
5,29,-0.686950546128,-0.023687949866482757
6,30,0.33879952702399996,0.011293317567466665
7,31,-1.294784305388,-0.04176723565767742
8,31,-0.748038741744,-0.024130281991741935
9,30,-0.637178585176,-0.021239286172533334
10,31,0.22737536508400003,0.0073346891962580655
11,30,0.222301281664,0.0074100427221333335
12,31,0.714257794684,0.023040574022064515
