month,count,sum,mean
1,31,-1.65644972724,-0.05343386216903226
2,28,-2.2696158736719996,-0.08105770977399998
3,31,-2.014701423812,-0.06499036851006451
4,30,-2.195215005508,-0.07317383351693334
5,31,-2.4794913889199997,-0.07998359319096773
6,30,-1.495767773752,-0.04985892579173334
7,31,-1.148769614748,-0.03705708434670968
8,29,-0.898648522464,-0.030987880084965516
9,30,-0.736798815396,-0.0245599605132
10,31,-1.054751538736,-0.034024243185032256
11,27,-1.1714065280400001,-0.043385426964444446
12,31,-1.339130925552,-0.043197771792
