month,count,sum,mean
1,31,0.11420432341367638,0.003684010432699238
2,28,-0.31409360595678826,-0.01121762878417101
3,31,-0.43889037304261713,-0.014157753969116681
4,30,-0.7244799212868653,-0.024149330709562176
5,31,-0.5783159324383208,-0.01865535265930067
6,30,-0.3935589067352421,-0.01311863022450807
7,31,-0.42876119783575906,-0.01383100638179868
8,31,-0.5171451831505862,-0.016682102682276975
9,30,-0.8670700844220576,-0.028902336147401918
10,31,-0.56386184456701,-0.01818909176022613
11,30,-0.6611893911051194,-0.022039646370170647
12,31,-0.28740657602415726,-0.009271179871747009
