month,count,sum,mean
1,31,-0.635116505212,-0.020487629200387096
2,28,-0.759807674388,-0.027135988371
3,31,-1.037415658048,-0.03346502122735484
4,30,-0.947661821344,-0.031588727378133334
5,31,-0.6039438495720001,-0.019482059663612907
6,30,-0.23248517600000002,-0.0077495058666666675
7,31,-0.18444918800000001,-0.005949973806451614
8,31,-0.09550248400000001,-0.003080725290322581
9,30,-0.372235864,-0.012407862133333334
10,31,-0.30951228000000003,-0.009984267096774194
11,30,-0.301190309056,-0.010039676968533334
12,12,-0.08575490000000001,-0.007146241666666667
