month,count,sum,mean
1,31,-1.4852948545097855,-0.04791273724225115
2,28,-1.516459691112924,-0.05415927468260443
3,31,-1.8385761705581376,-0.05930890872768186
4,30,-0.9765423661349453,-0.03255141220449818
5,31,-1.0554250668446576,-0.03404596989821476
6,30,-0.5542946843542852,-0.018476489478476174
7,31,-0.9934801393994741,-0.0320477464322411
8,31,-1.1329680850662727,-0.03654735758278299
9,30,-1.2575385623876258,-0.041917952079587525
10,31,-0.927674488999776,-0.029924983516121807
11,30,-1.1042148476122127,-0.036807161587073756
12,31,-1.3189901927089192,-0.04254807073254578
