month,count,sum,mean
1,31,-1.1785693338180911,-0.0380183656070352
2,28,-1.3575849122240335,-0.048485175436572624
3,31,-1.4524454569896972,-0.04685307925773217
4,30,-1.5306254410039883,-0.05102084803346628
5,31,-0.9450467673636941,-0.030485379592377227
6,30,-0.5238335203964658,-0.01746111734654886
7,31,-0.2938857014146362,-0.009480183916601168
8,31,-0.19197402601708913,-0.006192710516680295
9,30,-0.42115464577944156,-0.014038488192648052
10,31,-0.24746102402352277,-0.007982613678178154
11,30,-0.5454991024598982,-0.01818330341532994
12,31,-0.9677986403214139,-0.031219310978110128
