month,count,sum,mean
1,31,0.40681309972250274,0.013123003216854928
2,28,0.43537805102733507,0.01554921610811911
3,31,1.864630130202567,0.06014935903879248
4,30,-0.04265050027564651,-0.0014216833425215502
5,31,0.37659389807812715,0.012148190260584746
6,30,0.1764613026618643,0.005882043422062143
7,31,0.3335174793203603,0.010758628365172914
8,30,0.16583092597989066,0.005527697532663022
9,30,0.203952059372301,0.0067984019790767
10,31,0.08523195733615208,0.002749417978585551
11,30,0.5460981513091065,0.018203271710303552
12,31,0.22517238281947283,0.007263625252241059
