month,count,sum,mean
1,31,0.766232770661077,0.024717186150357322
2,28,1.5783063195156342,0.056368082839844076
3,31,0.6973575733878878,0.022495405593157672
4,27,0.29700046831265825,0.011000017344913269
5,0,0.0,
6,0,0.0,
7,18,-0.48204467312697896,-0.0267802596181655
8,31,-0.3760117925015739,-0.012129412661341094
9,30,-0.8081602415438147,-0.026938674718127158
10,31,-0.4468057552370133,-0.014413088878613332
11,30,-0.41252374406840575,-0.013750791468946859
12,31,0.0673674057687866,0.0021731421215737613
