month,count,sum,mean
1,31,-1.0081357855379487,-0.03252050921090157
2,28,-1.1082115446608773,-0.03957898373788848
3,31,-1.169371782324051,-0.03772167039755003
4,30,-0.7262203267912252,-0.02420734422637417
5,31,-0.9408754778861689,-0.03035082186729577
6,30,-0.26811900266156374,-0.008937300088718791
7,31,-0.41186318480608414,-0.013285909187293037
8,31,-0.4762588063985944,-0.015363187303180465
9,30,-0.9488059455053908,-0.031626864850179695
10,31,-0.6446630304125988,-0.020795581626212863
11,30,-0.5191214128249035,-0.01730404709416345
12,1,-0.028642357245972378,-0.028642357245972378
