month,count,sum,mean
1,31,-1.4487712123250376,-0.04673455523629153
2,28,-0.9968151502838957,-0.0356005410815677
3,31,-0.9777346954863174,-0.0315398288866554
4,30,-0.9220824436360616,-0.030736081454535387
5,31,-0.3157393399676613,-0.010185139998956816
6,30,-0.17258634213763052,-0.005752878071254351
7,31,-0.04358505936650442,-0.0014059696569840136
8,30,0.10922711250025018,0.0036409037500083393
9,30,0.0618692031629552,0.002062306772098507
10,31,0.4964371810306911,0.01601410261389326
11,30,1.2779604827285536,0.04259868275761845
12,31,0.06180669014676643,0.001993764198282788
