month,count,sum,mean
1,31,-2.164134251435913,-0.0698107823043843
2,28,-2.198918398026517,-0.07853279992951846
3,31,-1.4213653224175409,-0.04585049427153358
4,30,-1.182874979189121,-0.039429165972970706
5,31,-0.7563936154842074,-0.024399794047877656
6,30,-0.7274019057828123,-0.02424673019276041
7,31,-0.9838371060935422,-0.03173668084172717
8,31,-0.4457348984806052,-0.014378545112277588
9,30,-0.5795731966045133,-0.01931910655348378
10,31,-0.16520172277875375,-0.005329087831572702
11,30,-0.003604595384931141,-0.0001201531794977047
12,31,-0.10518919164759827,-0.003393199730567686
