month,count,sum,mean
1,31,-0.7181588655480302,-0.023166415017678393
2,28,-1.032977239305783,-0.03689204426092082
3,31,-1.1343596636357434,-0.03659224721405624
4,30,-0.5184065399916625,-0.017280217999722083
5,31,-0.8548486830654964,-0.027575763969854724
6,30,-0.3055003991338825,-0.010183346637796083
7,31,-0.4202575053309175,-0.013556693720352177
8,26,-0.3735225759959118,-0.014366252922919685
9,30,-0.9904943783270892,-0.03301647927756964
10,31,-0.7033862456046243,-0.022689878890471752
11,30,-0.41031454519249605,-0.013677151506416536
12,31,-0.30731340765751414,-0.009913335730887552
