time2,year,month,day,winds_u,winds_v
01-01,2006.5,1.0,1.0,-5.844488,-4.0084405
01-02,2006.5,1.0,2.0,-5.838093,-3.4215095
01-03,2006.5,1.0,3.0,-4.912367,-3.3764734
01-04,2006.5,1.0,4.0,-5.6564283,-3.7035208
01-05,2006.5,1.0,5.0,-5.4095373,-3.1981921
01-06,2006.5,1.0,6.0,-5.5417066,-2.650202
01-07,2006.5,1.0,7.0,-6.0252814,-3.7047124
01-08,2006.5,1.0,8.0,-5.7503924,-2.9179554
01-09,2006.5,1.0,9.0,-6.1124816,-3.4752588
01-10,2006.5,1.0,10.0,-5.9390087,-3.339501
01-11,2006.5,1.0,11.0,-5.7648444,-3.5825362
01-12,2006.5,1.0,12.0,-5.7220855,-3.3993287
01-13,2006.5,1.0,13.0,-5.8513927,-3.0084293
01-14,2006.5,1.0,14.0,-5.924459,-2.9653237
01-15,2006.5,1.0,15.0,-5.911812,-3.4147906
01-16,2006.5,1.0,16.0,-5.800269,-3.2457213
01-17,2006.5,1.0,17.0,-6.6376143,-3.5571728
01-18,2006.5,1.0,18.0,-6.059269,-3.074249
01-19,2006.5,1.0,19.0,-5.890804,-2.9516115
01-20,2006.5,1.0,20.0,-6.007421,-3.1903777
01-21,2006.5,1.0,21.0,-6.9846487,-3.7170234
01-22,2006.5,1.0,22.0,-6.1883187,-3.1177254
01-23,2006.5,1.0,23.0,-5.5426474,-3.3754904
01-24,2006.5,1.0,24.0,-5.5577154,-2.6180177
01-25,2006.5,1.0,25.0,-5.754077,-2.903386
01-26,2006.5,1.0,26.0,-6.500897,-3.1634712
01-27,2006.5,1.0,27.0,-6.221264,-2.8190775
01-28,2006.5,1.0,28.0,-6.6359158,-3.539571
01-29,2006.5,1.0,29.0,-6.471347,-3.8514283
01-30,2006.5,1.0,30.0,-7.075463,-3.409598
01-31,2006.5,1.0,31.0,-6.8915873,-3.6960888
02-01,2006.5,2.0,1.0,-6.743831,-3.8740466
02-02,2006.5,2.0,2.0,-6.6175485,-4.4832983
02-03,2006.5,2.0,3.0,-6.063642,-3.5506055
02-04,2006.5,2.0,4.0,-5.625394,-3.3123949
02-05,2006.5,2.0,5.0,-5.8745694,-3.4914906
02-06,2006.5,2.0,6.0,-6.0180597,-3.7856293
02-07,2006.5,2.0,7.0,-6.0569134,-3.4311092
02-08,2006.5,2.0,8.0,-5.4253387,-2.8840885
02-09,2006.5,2.0,9.0,-5.630451,-3.3727484
02-10,2006.5,2.0,10.0,-6.2593884,-3.4162643
02-11,2006.5,2.0,11.0,-6.016451,-3.1029317
02-12,2006.5,2.0,12.0,-5.6142864,-2.8837395
02-13,2006.5,2.0,13.0,-5.3595905,-3.292645
02-14,2006.5,2.0,14.0,-5.3266306,-3.016391
02-15,2006.5,2.0,15.0,-5.70328,-3.3905392
