time2,year,month,day,winds_u,winds_v
01-01,2006.0,1.0,1.0,-1.7797123,-3.2405627
01-02,2006.0,1.0,2.0,-1.3543532,-3.255101
01-03,2006.0,1.0,3.0,-1.6771398,-3.213004
01-04,2006.0,1.0,4.0,-1.3652015,-3.4856262
01-05,2006.0,1.0,5.0,-1.6965919,-3.4299843
01-06,2006.0,1.0,6.0,-2.2154303,-3.1998389
01-07,2006.0,1.0,7.0,-2.3306913,-3.9950454
01-08,2006.0,1.0,8.0,-1.8705925,-3.2581117
01-09,2006.0,1.0,9.0,-1.8140777,-2.9966073
01-10,2006.0,1.0,10.0,-2.1120267,-3.6136162
01-11,2006.0,1.0,11.0,-1.2680424,-4.241893
01-12,2006.0,1.0,12.0,-1.257324,-3.2434936
01-13,2006.0,1.0,13.0,-1.7324284,-3.2205954
01-14,2006.0,1.0,14.0,-2.1849155,-3.4857118
01-15,2006.0,1.0,15.0,-1.1799555,-3.3706882
01-16,2006.0,1.0,16.0,-1.2336801,-2.5323982
01-17,2006.0,1.0,17.0,-0.9874146,-2.7707527
01-18,2006.0,1.0,18.0,-0.7080506,-3.0236912
01-19,2006.0,1.0,19.0,-1.1603036,-2.2516599
01-20,2006.0,1.0,20.0,-1.2422507,-2.8691149
01-21,2006.0,1.0,21.0,-1.4484041,-3.3261096
01-22,2006.0,1.0,22.0,-0.77648056,-3.3931892
01-23,2006.0,1.0,23.0,-1.1757205,-3.2905262
01-24,2006.0,1.0,24.0,-1.2676153,-3.3692272
01-25,2006.0,1.0,25.0,-1.9412048,-3.6676738
01-26,2006.0,1.0,26.0,-2.5723362,-2.983416
01-27,2006.0,1.0,27.0,-3.188417,-3.207263
01-28,2006.0,1.0,28.0,-2.7532616,-3.1083164
01-29,2006.0,1.0,29.0,-1.1762879,-3.0929556
01-30,2006.0,1.0,30.0,-1.604821,-3.4123552
01-31,2006.0,1.0,31.0,-1.920634,-3.9347968
02-01,2006.0,2.0,1.0,-1.629038,-3.338436
02-02,2006.0,2.0,2.0,-1.41085,-2.872426
02-03,2006.0,2.0,3.0,-1.0232812,-2.718251
02-04,2006.0,2.0,4.0,-1.0731252,-2.9924352
02-05,2006.0,2.0,5.0,-0.8754116,-3.0263731
02-06,2006.0,2.0,6.0,-0.96946126,-3.40083
02-07,2006.0,2.0,7.0,-0.9809555,-2.6940463
02-08,2006.0,2.0,8.0,-1.0906667,-2.9291763
02-09,2006.0,2.0,9.0,-1.3267516,-3.242304
02-10,2006.0,2.0,10.0,-1.4356347,-2.7886517
02-11,2006.0,2.0,11.0,-1.5317239,-2.4137802
02-12,2006.0,2.0,12.0,-1.3420745,-3.1390734
02-13,2006.0,2.0,13.0,-0.79788995,-3.4484804
02-14,2006.0,2.0,14.0,-0.5469598,-3.3382638
02-15,2006.0,2.0,15.0,-0.802194,-2.6999063
02-16,2006.0,2.0,16.0,-1.0419741,-2.8441312
