time2,year,month,day,winds_u,winds_v
01-01,2004.0,1.0,1.0,-2.0523808,-1.9190476
01-02,2004.0,1.0,2.0,-1.9809523,-1.9952382
01-03,2004.0,1.0,3.0,-2.295,-1.845
01-04,2004.0,1.0,4.0,-2.159091,-1.8681817
01-05,2004.0,1.0,5.0,-1.6590909,-1.2045455
01-06,2004.0,1.0,6.0,-1.5409092,-1.2818183
01-07,2004.0,1.0,7.0,-2.0272727,-1.7227272
01-08,2004.0,1.0,8.0,-1.9772727,-1.4545455
01-09,2004.0,1.0,9.0,-1.8772727,-1.9409091
01-10,2004.0,1.0,10.0,-2.0181818,-1.4681817
01-11,2004.0,1.0,11.0,-2.2045455,-1.3636364
01-12,2004.0,1.0,12.0,-2.3772726,-1.9727273
01-13,2004.0,1.0,13.0,-2.4272728,-1.2045455
01-14,2004.0,1.0,14.0,-1.8136364,-1.0500001
01-15,2004.0,1.0,15.0,-2.2045455,-1.2318182
01-16,2004.0,1.0,16.0,-2.909091,-0.74090904
01-17,2004.0,1.0,17.0,-2.709091,-1.4818183
01-18,2004.0,1.0,18.0,-2.5863638,-2.0681818
01-19,2004.0,1.0,19.0,-2.009091,-1.6818181
01-20,2004.0,1.0,20.0,-2.390909,-1.8181819
01-21,2004.0,1.0,21.0,-2.4045455,-2.3500001
01-22,2004.0,1.0,22.0,-2.3954546,-2.3681817
01-23,2004.0,1.0,23.0,-2.2142856,-2.0523808
01-24,2004.0,1.0,24.0,-2.3181818,-2.2863638
01-25,2004.0,1.0,25.0,-2.4863636,-2.4681818
01-26,2004.0,1.0,26.0,-2.1454546,-2.5272727
01-27,2004.0,1.0,27.0,-2.140909,-2.5318182
01-28,2004.0,1.0,28.0,-2.2727273,-2.2136364
01-29,2004.0,1.0,29.0,-2.831818,-2.1636362
01-30,2004.0,1.0,30.0,-2.8428571,-1.9333334
01-31,2004.0,1.0,31.0,-2.7333333,-2.5
02-01,2004.0,2.0,1.0,-3.257143,-2.4666667
02-02,2004.0,2.0,2.0,-3.342857,-1.6809523
02-03,2004.0,2.0,3.0,-2.9299998,-1.145
02-04,2004.0,2.0,4.0,-2.8,-1.29
02-05,2004.0,2.0,5.0,-3.5900002,-1.665
02-06,2004.0,2.0,6.0,-3.27,-1.365
02-07,2004.0,2.0,7.0,-2.3789475,-0.98421055
02-08,2004.0,2.0,8.0,-2.7789474,-1.7684209
02-09,2004.0,2.0,9.0,-3.1789474,-1.6894736
02-10,2004.0,2.0,10.0,-3.863158,-1.3157895
02-11,2004.0,2.0,11.0,-3.3210528,-1.7157894
02-12,2004.0,2.0,12.0,-3.5736842,-1.9210526
02-13,2004.0,2.0,13.0,-3.5315788,-2.0578947
02-14,2004.0,2.0,14.0,-2.8999999,-1.6578947
02-15,2004.0,2.0,15.0,-3.1263158,-1.4947368
02-16,2004.0,2.0,16.0,-2.9842105,-1.5526316
02-17,2004.0,2.0,17.0,-2.3473685,-2.2894738
02-18,2004.0,2.0,18.0,-2.1578948,-1.5736842
02-19,2004.0,2.0,19.0,-2.6421053,-1.1157895
02-20,2004.0,2.0,20.0,-2.0578947,-1.9157896
02-21,2004.0,2.0,21.0,-2.6789472,-1.863158
02-22,2004.0,2.0,22.0,-1.7684209,-0.92105263
02-23,2004.0,2.0,23.0,-1.5894736,-1.3789474
02-24,2004.0,2.0,24.0,-1.1944444,-1.2277778
02-25,2004.0,2.0,25.0,-1.6055555,-1.4888889
02-26,2004.0,2.0,26.0,-1.7157894,-1.2421052
02-27,2004.0,2.0,27.0,-2.1842105,-1.3842106
02-28,2004.0,2.0,28.0,-2.8473682,-0.64736843
03-01,2004.0,3.0,1.0,-2.231579,-1.0052632
03-02,2004.0,3.0,2.0,-2.2842107,-1.3578947
03-03,2004.0,3.0,3.0,-2.0526316,-1.1
03-04,2004.0,3.0,4.0,-3.168421,-2.4736843
03-05,2004.0,3.0,5.0,-2.2368422,-1.6421053
