time2,year,month,day,winds_u,winds_v
01-01,2006.5,1.0,1.0,-3.2003708,-2.280367
01-02,2006.5,1.0,2.0,-3.2294705,-1.5409366
01-03,2006.5,1.0,3.0,-3.080659,-2.1923332
01-04,2006.5,1.0,4.0,-2.709866,-2.3850405
01-05,2006.5,1.0,5.0,-3.0552993,-2.274836
01-06,2006.5,1.0,6.0,-3.5533862,-2.3730657
01-07,2006.5,1.0,7.0,-3.1943166,-2.395477
01-08,2006.5,1.0,8.0,-3.3683012,-2.0951061
01-09,2006.5,1.0,9.0,-3.8991919,-2.2611587
01-10,2006.5,1.0,10.0,-3.2490587,-1.9355847
01-11,2006.5,1.0,11.0,-2.802414,-2.2633927
01-12,2006.5,1.0,12.0,-3.5811944,-2.5031447
01-13,2006.5,1.0,13.0,-3.9768171,-2.699232
01-14,2006.5,1.0,14.0,-3.9844902,-2.3244867
01-15,2006.5,1.0,15.0,-3.8572953,-2.2195709
01-16,2006.5,1.0,16.0,-3.967464,-2.5404766
01-17,2006.5,1.0,17.0,-3.7715704,-2.4085436
01-18,2006.5,1.0,18.0,-3.1194656,-1.9831717
01-19,2006.5,1.0,19.0,-3.0074148,-2.1274347
01-20,2006.5,1.0,20.0,-3.204259,-2.3348038
01-21,2006.5,1.0,21.0,-3.1664443,-2.5513544
01-22,2006.5,1.0,22.0,-2.8956158,-2.5548086
01-23,2006.5,1.0,23.0,-3.1965346,-2.6818027
01-24,2006.5,1.0,24.0,-3.7369351,-2.1593833
01-25,2006.5,1.0,25.0,-3.745797,-2.979283
01-26,2006.5,1.0,26.0,-4.062753,-2.089894
01-27,2006.5,1.0,27.0,-4.6905713,-2.3108022
01-28,2006.5,1.0,28.0,-3.9909515,-2.6045642
01-29,2006.5,1.0,29.0,-3.954552,-2.7688563
01-30,2006.5,1.0,30.0,-4.362353,-2.2457523
01-31,2006.5,1.0,31.0,-4.253263,-2.854602
02-01,2006.5,2.0,1.0,-4.117144,-2.8255813
02-02,2006.5,2.0,2.0,-4.401121,-2.703646
02-03,2006.5,2.0,3.0,-4.6764693,-2.4399586
02-04,2006.5,2.0,4.0,-3.9352272,-2.3045459
02-05,2006.5,2.0,5.0,-3.8468401,-3.0213065
02-06,2006.5,2.0,6.0,-3.6672437,-3.0545022
02-07,2006.5,2.0,7.0,-4.4232016,-2.4548416
02-08,2006.5,2.0,8.0,-4.3438582,-2.4278138
02-09,2006.5,2.0,9.0,-4.312156,-2.731025
02-10,2006.5,2.0,10.0,-4.5768642,-2.1383786
02-11,2006.5,2.0,11.0,-4.148226,-2.1354408
02-12,2006.5,2.0,12.0,-3.678106,-1.7548562
02-13,2006.5,2.0,13.0,-3.378144,-2.334781
02-14,2006.5,2.0,14.0,-3.2803574,-2.2312572
02-15,2006.5,2.0,15.0,-3.4411728,-2.7869782
02-16,2006.5,2.0,16.0,-3.705771,-2.5591369
02-17,2006.5,2.0,17.0,-4.771583,-2.6574023
02-18,2006.5,2.0,18.0,-4.4097967,-2.823036
02-19,2006.5,2.0,19.0,-4.37102,-3.2643194
02-20,2006.5,2.0,20.0,-4.3693857,-2.373616
02-21,2006.5,2.0,21.0,-4.5484147,-2.2773795
02-22,2006.5,2.0,22.0,-3.814985,-2.7718518
02-23,2006.5,2.0,23.0,-4.0170903,-2.0188363
02-24,2006.5,2.0,24.0,-3.7229078,-1.5631108
02-25,2006.5,2.0,25.0,-3.7497885,-2.1935432
02-26,2006.5,2.0,26.0,-4.3216796,-2.3840284
02-27,2006.5,2.0,27.0,-4.08447,-2.4184356
02-28,2006.5,2.0,28.0,-3.9715514,-2.0788565
03-01,2006.5,3.0,1.0,-4.178704,-2.354045
03-02,2006.5,3.0,2.0,-4.4242344,-2.3097706
03-03,2006.5,3.0,3.0,-4.3216276,-2.1672833
03-04,2006.5,3.0,4.0,-4.608269,-2.3547494
03-05,2006.5,3.0,5.0,-4.225119,-2.4126852
03-06,2006.5,3.0,6.0,-4.1343637,-2.4810464
03-07,2006.5,3.0,7.0,-3.8676147,-2.119958
03-08,2006.5,3.0,8.0,-4.1936517,-1.3587195
03-09,2006.5,3.0,9.0,-4.4394145,-1.7800602
03-10,2006.5,3.0,10.0,-4.268095,-1.8075094
03-11,2006.5,3.0,11.0,-4.114139,-1.709558
03-12,2006.5,3.0,12.0,-4.0761123,-2.1025047
03-13,2006.5,3.0,13.0,-4.1555586,-1.9902446
03-14,2006.5,3.0,14.0,-4.140969,-2.055134
03-15,2006.5,3.0,15.0,-4.557741,-1.8989099
03-16,2006.5,3.0,16.0,-5.1203074,-1.8877681
03-17,2006.5,3.0,17.0,-4.51058,-2.0788488
03-18,2006.5,3.0,18.0,-4.076567,-1.9146456
