time2,year,month,day,winds_u,winds_v
01-01,2006.0,1.0,1.0,-6.1470222,-0.059769392
01-02,2006.0,1.0,2.0,-6.1979647,-0.03140123
01-03,2006.0,1.0,3.0,-5.9736314,0.45279577
01-04,2006.0,1.0,4.0,-5.847638,0.22467731
01-05,2006.0,1.0,5.0,-5.5538883,0.5155308
01-06,2006.0,1.0,6.0,-6.085048,0.15635815
01-07,2006.0,1.0,7.0,-5.5750523,0.6345451
01-08,2006.0,1.0,8.0,-5.5834947,-0.14757313
01-09,2006.0,1.0,9.0,-5.3964252,0.31041285
01-10,2006.0,1.0,10.0,-5.4315534,-0.044695903
01-11,2006.0,1.0,11.0,-5.690682,-0.31264392
01-12,2006.0,1.0,12.0,-5.4953847,-0.27784404
01-13,2006.0,1.0,13.0,-6.0789547,-0.2696664
01-14,2006.0,1.0,14.0,-6.6862226,-0.11508816
01-15,2006.0,1.0,15.0,-6.2176595,-0.15439555
01-16,2006.0,1.0,16.0,-6.0855117,-0.6310987
01-17,2006.0,1.0,17.0,-5.937807,-0.59099585
01-18,2006.0,1.0,18.0,-6.0640316,-0.21195477
01-19,2006.0,1.0,19.0,-6.122739,-0.2066095
01-20,2006.0,1.0,20.0,-5.837161,-0.80593526
01-21,2006.0,1.0,21.0,-5.6808968,-1.306341
01-22,2006.0,1.0,22.0,-5.9956017,-0.3116551
01-23,2006.0,1.0,23.0,-6.5663757,-0.23354535
01-24,2006.0,1.0,24.0,-6.506923,-0.5207108
01-25,2006.0,1.0,25.0,-6.449915,-0.8245853
01-26,2006.0,1.0,26.0,-6.352079,-0.6346225
01-27,2006.0,1.0,27.0,-6.205196,-0.80352783
01-28,2006.0,1.0,28.0,-5.843206,-1.103578
01-29,2006.0,1.0,29.0,-5.8963337,-1.5352572
01-30,2006.0,1.0,30.0,-5.888702,-1.1108019
01-31,2006.0,1.0,31.0,-6.0987883,-1.140629
02-01,2006.0,2.0,1.0,-6.244608,-1.2643557
02-02,2006.0,2.0,2.0,-5.9751368,-1.2100708
02-03,2006.0,2.0,3.0,-5.8575373,-1.2206435
02-04,2006.0,2.0,4.0,-5.6278944,-0.79295987
02-05,2006.0,2.0,5.0,-5.309519,-1.1875622
02-06,2006.0,2.0,6.0,-5.8298287,-1.3055698
02-07,2006.0,2.0,7.0,-6.289441,-0.4948074
02-08,2006.0,2.0,8.0,-6.198248,-0.36005276
02-09,2006.0,2.0,9.0,-6.1221747,-0.747604
02-10,2006.0,2.0,10.0,-6.315652,-0.77428454
02-11,2006.0,2.0,11.0,-5.9294896,-0.32749027
02-12,2006.0,2.0,12.0,-5.505986,-0.66473067
02-13,2006.0,2.0,13.0,-5.363229,-0.8907654
02-14,2006.0,2.0,14.0,-5.840969,-0.6527274
02-15,2006.0,2.0,15.0,-5.9546657,-1.0976263
02-16,2006.0,2.0,16.0,-5.737435,-1.3728541
02-17,2006.0,2.0,17.0,-5.5711403,-1.2696273
02-18,2006.0,2.0,18.0,-5.973006,-1.8992671
02-19,2006.0,2.0,19.0,-6.1888776,-2.0394688
02-20,2006.0,2.0,20.0,-6.032881,-1.2401984
02-21,2006.0,2.0,21.0,-5.808972,-1.1263019
02-22,2006.0,2.0,22.0,-5.530054,-1.2782689
02-23,2006.0,2.0,23.0,-5.8136263,-1.2736202
02-24,2006.0,2.0,24.0,-6.096046,-0.58200103
02-25,2006.0,2.0,25.0,-6.389431,-0.8675914
02-26,2006.0,2.0,26.0,-6.216223,-0.50795186
02-27,2006.0,2.0,27.0,-6.1496224,-0.84278816
02-28,2006.0,2.0,28.0,-5.3509326,-1.1360893
03-01,2006.0,3.0,1.0,-5.6088843,-1.2652413
03-02,2006.0,3.0,2.0,-6.104989,-1.0554068
03-03,2006.0,3.0,3.0,-6.216085,-0.7531687
03-04,2006.0,3.0,4.0,-6.0026007,-1.2403727
03-05,2006.0,3.0,5.0,-6.0753517,-1.0232683
03-06,2005.5,3.0,6.0,-6.0076694,-0.4453183
03-07,2005.5,3.0,7.0,-5.947192,-0.43254298
03-08,2005.5,3.0,8.0,-5.8634667,-0.6438587
03-09,2005.5,3.0,9.0,-5.457597,-1.0912954
03-10,2005.5,3.0,10.0,-5.5568056,-0.9989782
03-11,2005.5,3.0,11.0,-5.553708,-0.9581129
03-12,2005.5,3.0,12.0,-4.925022,-0.71221375
03-13,2005.5,3.0,13.0,-5.586791,-0.6793928
03-14,2005.5,3.0,14.0,-5.915341,-1.2249396
03-15,2005.5,3.0,15.0,-5.6881294,-1.0921588
03-16,2005.5,3.0,16.0,-5.2586317,-0.93027085
03-17,2005.5,3.0,17.0,-5.807114,-1.1253538
03-18,2005.5,3.0,18.0,-6.0658255,-1.4497868
03-19,2005.5,3.0,19.0,-5.6923103,-1.6184745
03-20,2005.5,3.0,20.0,-5.7836967,-1.6370566
03-21,2005.5,3.0,21.0,-5.540725,-1.331007
03-22,2005.5,3.0,22.0,-5.9277496,-0.5997799
03-23,2005.5,3.0,23.0,-5.5753226,-0.9294347
03-24,2005.5,3.0,24.0,-5.525815,-1.9521815
03-25,2005.5,3.0,25.0,-5.1826878,-1.5901544
03-26,2005.5,3.0,26.0,-4.833361,-1.2879708
03-27,2005.5,3.0,27.0,-5.086368,-1.4970214
03-28,2005.5,3.0,28.0,-4.988,-1.8453453
03-29,2005.5,3.0,29.0,-5.273473,-1.7836263
03-30,2005.5,3.0,30.0,-4.9732823,-1.0358781
03-31,2005.5,3.0,31.0,-4.798845,-1.995352
04-01,2005.5,4.0,1.0,-4.9849896,-1.6551335
04-02,2005.5,4.0,2.0,-4.896964,-1.6536785
04-03,2005.5,4.0,3.0,-5.3709984,-1.6451237
04-04,2005.5,4.0,4.0,-5.709012,-1.0999866
04-05,2005.5,4.0,5.0,-5.435739,-1.5589607
04-06,2005.5,4.0,6.0,-5.0391583,-1.6228157
04-07,2005.5,4.0,7.0,-4.6778803,-0.72025603
04-08,2005.5,4.0,8.0,-4.7151895,-0.5368005
04-09,2005.5,4.0,9.0,-4.418232,-0.901706
04-10,2005.5,4.0,10.0,-4.8588457,-1.4650064
04-11,2005.5,4.0,11.0,-5.2591567,-1.3719491
04-12,2005.5,4.0,12.0,-5.4272676,-1.2180582
04-13,2005.5,4.0,13.0,-5.164748,-2.019758
04-14,2005.5,4.0,14.0,-5.086185,-1.4452852
04-15,2005.5,4.0,15.0,-5.2240014,-0.63565063
04-16,2005.5,4.0,16.0,-5.000927,-0.66361684
04-17,2005.5,4.0,17.0,-5.223766,-1.3290517
04-18,2005.5,4.0,18.0,-5.099167,-0.93902844
04-19,2005.5,4.0,19.0,-4.772825,-0.36358237
04-20,2005.5,4.0,20.0,-4.60616,-1.0919081
04-21,2005.5,4.0,21.0,-4.9135613,-0.978309
04-22,2005.5,4.0,22.0,-5.217077,-0.9358701
04-23,2005.5,4.0,23.0,-4.885449,-0.8996098
04-24,2005.5,4.0,24.0,-4.85922,-1.292252
04-25,2005.5,4.0,25.0,-4.8964157,-0.7035374
04-26,2005.5,4.0,26.0,-4.3498583,-0.81790876
04-27,2005.5,4.0,27.0,-4.331986,-1.0676781
04-28,2005.5,4.0,28.0,-4.400633,-0.99842644
04-29,2005.5,4.0,29.0,-4.7881217,-0.9844381
04-30,2005.5,4.0,30.0,-4.586365,-1.2836529
05-01,2005.5,5.0,1.0,-4.8295665,-1.2710149
05-02,2005.5,5.0,2.0,-5.3103876,-0.6537913
05-03,2005.5,5.0,3.0,-4.820614,-0.61446464
05-04,2005.5,5.0,4.0,-4.7969484,-0.57639956
05-05,2005.5,5.0,5.0,-4.9922237,-1.1302246
05-06,2005.5,5.0,6.0,-4.5778418,-1.0552199
05-07,2005.5,5.0,7.0,-4.288622,-0.6867061
05-08,2005.5,5.0,8.0,-4.520733,-0.31865376
05-09,2005.5,5.0,9.0,-4.8004813,-0.46601564
05-10,2005.5,5.0,10.0,-4.9686074,-0.31617975
05-11,2005.5,5.0,11.0,-4.951598,-0.50552547
05-12,2005.5,5.0,12.0,-4.619595,0.50044143
05-13,2005.5,5.0,13.0,-4.5937824,-0.031708527
05-14,2005.5,5.0,14.0,-3.8811626,-0.05457931
05-15,2005.5,5.0,15.0,-3.981898,-0.18785655
05-16,2005.5,5.0,16.0,-3.9842114,-0.23521748
05-17,2005.5,5.0,17.0,-4.42573,0.8409688
05-18,2005.5,5.0,18.0,-3.9108586,-0.53750783
05-19,2005.5,5.0,19.0,-3.4317906,-0.9058238
05-20,2005.5,5.0,20.0,-4.700587,-0.70366037
05-21,2005.5,5.0,21.0,-4.423509,0.03240878
05-22,2005.5,5.0,22.0,-4.1366005,0.047576483
05-23,2005.5,5.0,23.0,-4.294432,-0.24243286
05-24,2005.5,5.0,24.0,-4.349619,-0.3251246
05-25,2005.5,5.0,25.0,-4.3067303,-0.5022167
05-26,2005.5,5.0,26.0,-4.1756926,0.46850124
05-27,2005.5,5.0,27.0,-4.2269616,0.55042136
05-28,2005.5,5.0,28.0,-4.010542,-0.063483104
05-29,2005.5,5.0,29.0,-4.0686536,-0.58642393
05-30,2005.5,5.0,30.0,-4.6540747,-0.17260472
05-31,2005.5,5.0,31.0,-3.9848068,0.48302802
06-01,2005.5,6.0,1.0,-3.7887032,-0.2456747
06-02,2005.5,6.0,2.0,-3.7903175,-0.43986773
06-03,2005.5,6.0,3.0,-3.6338494,-0.044021487
06-04,2005.5,6.0,4.0,-4.279764,-0.6948774
06-05,2005.5,6.0,5.0,-4.226296,-0.22758539
06-06,2005.5,6.0,6.0,-4.11042,0.08879046
06-07,2005.5,6.0,7.0,-4.4041934,-0.10713897
06-08,2005.5,6.0,8.0,-4.43907,-0.25183362
06-09,2005.5,6.0,9.0,-3.9860668,-0.044340912
06-10,2005.5,6.0,10.0,-3.8902388,-0.243823
06-11,2005.5,6.0,11.0,-4.173496,0.5988555
06-12,2005.5,6.0,12.0,-5.039509,-0.21651885
06-13,2005.5,6.0,13.0,-4.908346,0.07463046
06-14,2005.5,6.0,14.0,-4.5497727,-0.06242899
06-15,2005.5,6.0,15.0,-4.657295,0.0442234
06-16,2005.5,6.0,16.0,-4.0502906,0.42325407
06-17,2005.5,6.0,17.0,-3.9667048,0.42119157
06-18,2005.5,6.0,18.0,-3.816711,0.725754
06-19,2005.5,6.0,19.0,-3.7352102,0.5840127
06-20,2005.5,6.0,20.0,-4.014698,0.16946597
06-21,2005.5,6.0,21.0,-4.136897,0.80585366
06-22,2005.5,6.0,22.0,-4.152859,0.19069791
06-23,2005.5,6.0,23.0,-3.8090715,0.68667257
06-24,2005.5,6.0,24.0,-4.928424,0.6371544
