time2,year,month,day,winds_u,winds_v
01-01,2006.5,1.0,1.0,-5.684291,-1.6231557
01-02,2006.5,1.0,2.0,-5.0189605,-0.96326184
01-03,2006.5,1.0,3.0,-5.5885577,-1.9497119
01-04,2006.5,1.0,4.0,-5.295591,-2.5689101
01-05,2006.5,1.0,5.0,-5.567128,-1.8135152
01-06,2006.5,1.0,6.0,-5.3376117,-2.1217375
01-07,2006.5,1.0,7.0,-5.484423,-1.6066791
01-08,2006.5,1.0,8.0,-5.378513,-1.8481584
01-09,2006.5,1.0,9.0,-5.4259,-1.953597
01-10,2006.5,1.0,10.0,-5.231772,-1.9781536
01-11,2006.5,1.0,11.0,-4.813762,-1.8251733
01-12,2006.5,1.0,12.0,-5.035854,-1.7945846
01-13,2006.5,1.0,13.0,-5.4174995,-1.7696228
01-14,2006.5,1.0,14.0,-5.4670544,-1.627879
01-15,2006.5,1.0,15.0,-5.601007,-1.2369586
01-16,2006.5,1.0,16.0,-5.2530766,-1.2880245
01-17,2006.5,1.0,17.0,-5.6668773,-3.1254919
01-18,2006.5,1.0,18.0,-5.7949543,-2.7927144
01-19,2006.5,1.0,19.0,-5.728924,-2.2036412
01-20,2006.5,1.0,20.0,-6.1752057,-1.959592
01-21,2006.5,1.0,21.0,-5.790847,-2.002971
01-22,2006.5,1.0,22.0,-5.3937497,-3.05285
01-23,2006.5,1.0,23.0,-5.75723,-2.781551
01-24,2006.5,1.0,24.0,-5.8843203,-2.1012588
01-25,2006.5,1.0,25.0,-5.9174857,-1.8358898
01-26,2006.5,1.0,26.0,-5.6913104,-1.8151907
01-27,2006.5,1.0,27.0,-5.8463583,-2.101887
01-28,2006.5,1.0,28.0,-5.7383013,-1.9649966
01-29,2006.5,1.0,29.0,-5.9877787,-2.6081128
01-30,2006.5,1.0,30.0,-6.5245924,-2.312745
01-31,2006.5,1.0,31.0,-6.310133,-2.798592
02-01,2006.5,2.0,1.0,-6.506171,-2.9201856
02-02,2006.5,2.0,2.0,-6.7025275,-1.995491
02-03,2006.5,2.0,3.0,-6.6492286,-2.4242234
02-04,2006.5,2.0,4.0,-5.9570117,-2.4073286
02-05,2006.5,2.0,5.0,-5.9193387,-1.9366839
02-06,2006.5,2.0,6.0,-6.119539,-2.7258053
02-07,2006.5,2.0,7.0,-6.241864,-1.8968046
02-08,2006.5,2.0,8.0,-6.1007423,-1.8912994
02-09,2006.5,2.0,9.0,-5.3014526,-2.4739091
02-10,2006.5,2.0,10.0,-6.056165,-2.46892
02-11,2006.5,2.0,11.0,-5.8587,-2.1120105
02-12,2006.5,2.0,12.0,-5.0069757,-2.0803292
02-13,2006.5,2.0,13.0,-5.448981,-2.3699539
02-14,2006.5,2.0,14.0,-5.3163247,-2.0303662
02-15,2006.5,2.0,15.0,-5.0095057,-1.6229887
02-16,2006.5,2.0,16.0,-5.311046,-1.2890277
02-17,2006.5,2.0,17.0,-5.9700813,-1.4994054
02-18,2006.5,2.0,18.0,-6.037471,-2.1116443
02-19,2006.5,2.0,19.0,-6.057513,-1.933741
02-20,2006.5,2.0,20.0,-6.238173,-1.4674014
02-21,2006.5,2.0,21.0,-5.4877515,-1.7140532
02-22,2006.5,2.0,22.0,-5.0499988,-2.0220377
02-23,2006.5,2.0,23.0,-6.1154313,-2.45719
02-24,2006.5,2.0,24.0,-5.8634305,-2.167463
02-25,2006.5,2.0,25.0,-6.243038,-1.9407246
02-26,2006.5,2.0,26.0,-6.258633,-2.416234
02-27,2006.5,2.0,27.0,-6.328632,-2.2771604
02-28,2006.5,2.0,28.0,-5.8748636,-2.214042
03-01,2006.5,3.0,1.0,-5.9875107,-2.8068721
03-02,2006.5,3.0,2.0,-6.288604,-3.158557
03-03,2006.5,3.0,3.0,-6.3805394,-3.2113228
03-04,2006.5,3.0,4.0,-6.353615,-3.1193638
03-05,2006.5,3.0,5.0,-6.070593,-2.6062086
03-06,2006.5,3.0,6.0,-5.0140085,-2.088814
03-07,2006.5,3.0,7.0,-5.2495213,-2.6280038
03-08,2006.5,3.0,8.0,-6.061565,-2.4472537
03-09,2006.5,3.0,9.0,-6.092178,-1.901471
03-10,2006.5,3.0,10.0,-6.021117,-1.7383972
03-11,2006.5,3.0,11.0,-6.1584535,-2.4534848
03-12,2006.5,3.0,12.0,-6.4885154,-2.7141497
03-13,2006.5,3.0,13.0,-6.620884,-2.8076997
03-14,2006.5,3.0,14.0,-6.514629,-2.8099608
03-15,2006.5,3.0,15.0,-6.178774,-1.9504923
03-16,2006.5,3.0,16.0,-5.9559875,-2.3349543
03-17,2006.5,3.0,17.0,-6.2753806,-2.074607
03-18,2006.5,3.0,18.0,-6.5693474,-2.3846722
03-19,2006.5,3.0,19.0,-6.3220706,-3.265189
03-20,2006.5,3.0,20.0,-5.5420885,-2.2026055
03-21,2006.5,3.0,21.0,-5.951267,-1.5943972
03-22,2006.5,3.0,22.0,-5.674459,-1.8445445
03-23,2006.5,3.0,23.0,-5.890135,-2.1990614
03-24,2006.5,3.0,24.0,-5.6945424,-2.633971
03-25,2006.5,3.0,25.0,-5.6382875,-2.0978
03-26,2006.5,3.0,26.0,-6.0220094,-2.5023677
03-27,2006.5,3.0,27.0,-5.9449153,-2.450525
03-28,2006.5,3.0,28.0,-6.147943,-2.4135675
03-29,2006.0,3.0,29.0,-6.0699816,-2.897059
03-30,2006.0,3.0,30.0,-6.2652483,-2.772297
03-31,2006.0,3.0,31.0,-6.259728,-2.7095776
04-01,2006.0,4.0,1.0,-6.0755086,-2.851764
04-02,2006.0,4.0,2.0,-5.974742,-3.0546029
04-03,2006.0,4.0,3.0,-6.7987027,-2.66529
04-04,2006.0,4.0,4.0,-6.513256,-2.3605256
04-05,2006.0,4.0,5.0,-6.081435,-2.7550855
04-06,2006.0,4.0,6.0,-5.9508495,-2.1822193
04-07,2006.0,4.0,7.0,-5.309019,-1.8260648
04-08,2006.0,4.0,8.0,-5.434401,-2.5258636
04-09,2006.0,4.0,9.0,-5.952663,-2.4659758
04-10,2006.0,4.0,10.0,-5.556501,-2.1478562
04-11,2006.0,4.0,11.0,-5.622433,-2.0709286
04-12,2006.0,4.0,12.0,-5.483966,-1.634074
04-13,2006.0,4.0,13.0,-6.0202627,-2.4090328
04-14,2006.0,4.0,14.0,-5.9347873,-2.9612048
04-15,2006.0,4.0,15.0,-6.2046876,-2.7599
04-16,2006.0,4.0,16.0,-5.7421784,-2.517125
