time2,year,month,day,winds_u,winds_v
01-01,2004.5,1.0,1.0,-6.547824,-3.6001873
01-02,2004.5,1.0,2.0,-6.3253493,-3.544819
01-03,2004.5,1.0,3.0,-6.1579366,-3.2084308
01-04,2004.5,1.0,4.0,-6.0179644,-3.2810829
01-05,2004.5,1.0,5.0,-6.673048,-3.0827818
01-06,2004.5,1.0,6.0,-6.4313183,-3.5252852
01-07,2004.5,1.0,7.0,-6.3039474,-3.0440302
01-08,2004.5,1.0,8.0,-6.699431,-3.5443647
01-09,2004.5,1.0,9.0,-6.7150574,-3.307603
01-10,2004.5,1.0,10.0,-6.4256444,-2.9912207
01-11,2004.5,1.0,11.0,-6.545669,-3.2724943
01-12,2004.5,1.0,12.0,-6.4530997,-3.5347867
01-13,2004.5,1.0,13.0,-6.250681,-3.357421
01-14,2004.5,1.0,14.0,-6.472717,-3.6459014
01-15,2004.5,1.0,15.0,-6.424678,-2.962719
01-16,2004.5,1.0,16.0,-6.5141506,-3.1263084
01-17,2004.5,1.0,17.0,-6.5653777,-3.6236951
01-18,2004.5,1.0,18.0,-6.7085295,-3.8049972
01-19,2004.5,1.0,19.0,-6.886698,-3.347642
01-20,2004.5,1.0,20.0,-6.7122874,-2.7220235
01-21,2004.5,1.0,21.0,-6.296512,-3.6640508
01-22,2004.5,1.0,22.0,-6.672881,-3.707664
01-23,2004.5,1.0,23.0,-7.2990303,-3.729079
01-24,2004.5,1.0,24.0,-6.9950643,-3.0830379
01-25,2004.5,1.0,25.0,-7.0413933,-3.500581
01-26,2004.5,1.0,26.0,-6.802877,-3.9071786
01-27,2004.5,1.0,27.0,-7.054016,-3.9619787
01-28,2004.5,1.0,28.0,-6.451274,-3.9133317
01-29,2004.5,1.0,29.0,-6.475896,-3.806212
01-30,2004.5,1.0,30.0,-6.574835,-3.635813
01-31,2004.5,1.0,31.0,-6.427819,-3.3357737
02-01,2004.5,2.0,1.0,-6.569329,-3.9327621
02-02,2004.5,2.0,2.0,-6.979919,-3.5876303
02-03,2004.5,2.0,3.0,-6.8727694,-3.9483707
02-04,2004.5,2.0,4.0,-6.6907516,-3.6892388
02-05,2004.5,2.0,5.0,-6.4281664,-3.0902898
02-06,2004.5,2.0,6.0,-6.443881,-2.7359917
02-07,2004.5,2.0,7.0,-6.3087635,-3.4429953
02-08,2004.5,2.0,8.0,-6.232467,-3.13873
02-09,2004.5,2.0,9.0,-6.4594617,-2.9007826
02-10,2004.5,2.0,10.0,-6.6559353,-3.168781
02-11,2004.5,2.0,11.0,-6.0917163,-3.4041786
02-12,2004.5,2.0,12.0,-6.156467,-3.339154
02-13,2004.5,2.0,13.0,-6.5635805,-3.4895747
02-14,2004.5,2.0,14.0,-6.539559,-3.5933123
02-15,2004.5,2.0,15.0,-6.2811766,-3.784299
02-16,2004.5,2.0,16.0,-6.380847,-3.8786225
02-17,2004.5,2.0,17.0,-6.078737,-3.5165055
02-18,2004.5,2.0,18.0,-6.1063967,-2.891962
02-19,2004.5,2.0,19.0,-6.245589,-3.5820448
02-20,2004.5,2.0,20.0,-6.2658076,-3.6194384
02-21,2004.5,2.0,21.0,-6.545311,-3.33909
02-22,2004.5,2.0,22.0,-6.5930996,-3.295788
02-23,2004.5,2.0,23.0,-6.013554,-3.2059312
02-24,2004.5,2.0,24.0,-6.3594394,-3.0364869
02-25,2004.5,2.0,25.0,-6.6590652,-2.965626
02-26,2004.5,2.0,26.0,-6.3024025,-3.1543953
02-27,2004.5,2.0,27.0,-6.3063645,-3.0993068
02-28,2004.5,2.0,28.0,-6.4364285,-3.375412
03-01,2004.5,3.0,1.0,-6.3778467,-3.256035
03-02,2004.5,3.0,2.0,-6.492879,-3.3200598
03-03,2004.5,3.0,3.0,-6.3305593,-3.4197721
03-04,2004.5,3.0,4.0,-6.0247045,-3.4423046
03-05,2004.5,3.0,5.0,-6.1447988,-3.2544389
03-06,2004.5,3.0,6.0,-5.824356,-3.1197736
03-07,2004.5,3.0,7.0,-5.50415,-2.9370387
03-08,2004.5,3.0,8.0,-6.1536255,-3.5976918
03-09,2004.5,3.0,9.0,-6.268361,-3.6603162
03-10,2004.5,3.0,10.0,-6.481925,-3.3582892
03-11,2004.5,3.0,11.0,-6.576181,-3.31471
03-12,2004.5,3.0,12.0,-6.4692674,-2.7457855
03-13,2004.5,3.0,13.0,-6.1207824,-2.5795922
03-14,2004.5,3.0,14.0,-6.2784157,-2.8190503
03-15,2004.5,3.0,15.0,-6.1765814,-3.2188883
03-16,2004.5,3.0,16.0,-6.2396326,-2.7654493
03-17,2004.5,3.0,17.0,-5.76887,-2.450826
03-18,2004.5,3.0,18.0,-5.786273,-2.5535738
03-19,2004.5,3.0,19.0,-5.6797624,-2.3141422
03-20,2004.5,3.0,20.0,-5.2364855,-2.1947498
03-21,2004.5,3.0,21.0,-5.735459,-2.8064332
03-22,2004.5,3.0,22.0,-5.691735,-2.8927858
03-23,2004.5,3.0,23.0,-5.3074036,-2.9838045
03-24,2004.5,3.0,24.0,-5.376972,-3.126615
03-25,2004.5,3.0,25.0,-5.6568966,-2.8513403
03-26,2004.5,3.0,26.0,-5.9464383,-2.9704447
03-27,2004.5,3.0,27.0,-6.006441,-2.4397101
03-28,2004.5,3.0,28.0,-6.3110814,-2.5725796
03-29,2004.5,3.0,29.0,-6.604959,-3.1627662
03-30,2004.5,3.0,30.0,-6.2829914,-2.833392
03-31,2004.5,3.0,31.0,-6.2977443,-2.4277935
04-01,2004.5,4.0,1.0,-6.045454,-2.3217845
04-02,2004.5,4.0,2.0,-6.1707864,-2.696843
04-03,2004.5,4.0,3.0,-5.9503274,-2.8247178
04-04,2004.5,4.0,4.0,-5.766779,-2.793935
04-05,2004.5,4.0,5.0,-5.8182406,-2.869279
04-06,2004.5,4.0,6.0,-5.3120904,-2.8572216
04-07,2004.5,4.0,7.0,-5.7262025,-2.4765584
04-08,2004.5,4.0,8.0,-5.47472,-2.1332223
04-09,2004.5,4.0,9.0,-5.5172763,-2.8272583
04-10,2004.5,4.0,10.0,-5.774858,-2.772417
04-11,2004.5,4.0,11.0,-5.8100047,-2.5038507
04-12,2004.5,4.0,12.0,-5.6841893,-2.0131004
04-13,2004.5,4.0,13.0,-6.035892,-1.858387
04-14,2004.5,4.0,14.0,-6.213989,-2.3126142
04-15,2004.5,4.0,15.0,-6.6296725,-2.5577264
04-16,2004.5,4.0,16.0,-6.829494,-2.5349088
04-17,2004.5,4.0,17.0,-6.784759,-2.9798658
04-18,2004.5,4.0,18.0,-6.5162477,-2.6079588
04-19,2004.5,4.0,19.0,-6.748342,-2.4768772
04-20,2004.5,4.0,20.0,-6.219096,-2.215753
04-21,2004.5,4.0,21.0,-6.090517,-2.0019534
04-22,2004.5,4.0,22.0,-5.424111,-1.9977783
04-23,2004.5,4.0,23.0,-5.773154,-2.5284412
04-24,2004.5,4.0,24.0,-5.5988197,-2.2233255
04-25,2004.5,4.0,25.0,-5.8183546,-1.8286608
04-26,2004.5,4.0,26.0,-5.525202,-1.7417828
04-27,2004.5,4.0,27.0,-5.6631265,-2.1881485
04-28,2004.5,4.0,28.0,-5.8488803,-2.1795757
04-29,2004.5,4.0,29.0,-6.0900707,-1.8778206
04-30,2004.5,4.0,30.0,-6.130054,-2.229359
05-01,2004.5,5.0,1.0,-6.17766,-2.0493128
05-02,2004.5,5.0,2.0,-6.440518,-1.7924644
05-03,2004.5,5.0,3.0,-6.2023344,-1.7737617
05-04,2004.5,5.0,4.0,-5.949714,-2.2167985
05-05,2004.5,5.0,5.0,-6.5786104,-2.146313
05-06,2004.5,5.0,6.0,-6.4390635,-2.504322
05-07,2004.5,5.0,7.0,-6.227046,-1.940546
05-08,2004.5,5.0,8.0,-5.708175,-1.790192
05-09,2004.5,5.0,9.0,-5.6882987,-1.9169555
05-10,2004.5,5.0,10.0,-5.7423253,-1.3438601
05-11,2004.5,5.0,11.0,-5.464172,-1.1468015
05-12,2004.5,5.0,12.0,-5.5158973,-2.0591357
05-13,2004.5,5.0,13.0,-5.8950534,-2.2301145
05-14,2004.5,5.0,14.0,-5.4170117,-1.5064136
05-15,2004.5,5.0,15.0,-5.2730784,-1.5809401
05-16,2004.5,5.0,16.0,-5.23734,-1.457389
05-17,2004.5,5.0,17.0,-5.1703625,-1.4280609
05-18,2004.5,5.0,18.0,-5.29625,-1.8232021
05-19,2004.5,5.0,19.0,-5.112833,-1.1845862
05-20,2004.5,5.0,20.0,-5.057945,-1.1166023
05-21,2004.5,5.0,21.0,-4.717646,-1.5426465
05-22,2004.5,5.0,22.0,-5.2659283,-1.252608
05-23,2004.5,5.0,23.0,-5.6256723,-1.5856897
05-24,2004.5,5.0,24.0,-5.2693477,-1.7469131
05-25,2004.5,5.0,25.0,-5.5392003,-1.6820297
05-26,2004.5,5.0,26.0,-5.5808268,-1.2292999
05-27,2004.5,5.0,27.0,-5.0018597,-1.2819604
05-28,2004.5,5.0,28.0,-5.1475453,-1.3701316
05-29,2004.5,5.0,29.0,-5.3620205,-1.4487511
05-30,2004.5,5.0,30.0,-5.433953,-1.2122108
05-31,2004.5,5.0,31.0,-5.49009,-1.321062
06-01,2004.5,6.0,1.0,-5.505798,-1.7711341
06-02,2004.5,6.0,2.0,-5.5959454,-1.8965579
06-03,2004.5,6.0,3.0,-5.878914,-1.4098815
06-04,2004.5,6.0,4.0,-5.3050528,-1.1637983
06-05,2004.5,6.0,5.0,-5.634689,-1.779918
06-06,2004.5,6.0,6.0,-5.9534154,-1.6821654
06-07,2004.5,6.0,7.0,-6.063913,-1.918472
06-08,2004.5,6.0,8.0,-6.1837487,-2.1421933
06-09,2004.5,6.0,9.0,-5.8861065,-2.1849384
06-10,2004.5,6.0,10.0,-5.204208,-1.4327157
06-11,2004.5,6.0,11.0,-5.458854,-1.4930701
06-12,2004.5,6.0,12.0,-5.51718,-1.4295752
06-13,2004.5,6.0,13.0,-5.407276,-1.901872
06-14,2004.5,6.0,14.0,-5.2885003,-1.9915189
06-15,2004.5,6.0,15.0,-5.3874865,-1.6953074
06-16,2004.5,6.0,16.0,-5.4669337,-1.3752507
06-17,2004.5,6.0,17.0,-4.709576,-1.2529918
06-18,2004.5,6.0,18.0,-5.218812,-1.2883745
06-19,2004.5,6.0,19.0,-4.8471994,-1.1398318
06-20,2004.5,6.0,20.0,-4.08105,-0.38446522
06-21,2004.5,6.0,21.0,-3.4632213,-0.8501037
06-22,2004.5,6.0,22.0,-4.280668,-1.5640173
06-23,2004.5,6.0,23.0,-4.908418,-1.5535723
06-24,2004.5,6.0,24.0,-5.112597,-1.0448829
06-25,2004.5,6.0,25.0,-4.304911,-1.1300368
06-26,2004.5,6.0,26.0,-4.123206,-1.1960738
06-27,2004.5,6.0,27.0,-4.552614,-1.1736363
06-28,2004.5,6.0,28.0,-4.132862,-0.7238349
06-29,2004.5,6.0,29.0,-3.679075,-0.6586566
06-30,2004.5,6.0,30.0,-3.6093576,-0.45368972
07-01,2004.5,7.0,1.0,-3.450295,-1.3108901
07-02,2004.5,7.0,2.0,-3.6153128,-0.80452436
07-03,2004.5,7.0,3.0,-3.2940624,-0.6028284
