time2,year,month,day,winds_u,winds_v
01-01,2004.0,1.0,1.0,1.3666667,-1.5714285
01-02,2004.0,1.0,2.0,1.5666666,-1.7285714
01-03,2004.0,1.0,3.0,1.4619048,-1.695238
01-04,2004.0,1.0,4.0,1.7571429,-1.4095238
01-05,2004.0,1.0,5.0,2.1238093,-1.2142857
01-06,2004.0,1.0,6.0,2.4571428,-1.0238096
01-07,2004.0,1.0,7.0,1.7809525,-1.0666666
01-08,2004.0,1.0,8.0,1.7857143,-1.3
01-09,2004.0,1.0,9.0,1.7285714,-1.2047619
01-10,2004.0,1.0,10.0,2.415,-1.435
01-11,2004.0,1.0,11.0,2.495238,-1.1571429
01-12,2004.0,1.0,12.0,2.195238,-0.9666667
01-13,2004.0,1.0,13.0,2.1380954,-1.4714285
01-14,2004.0,1.0,14.0,2.266667,-1.3619047
01-15,2004.0,1.0,15.0,2.057143,-0.9857143
01-16,2004.0,1.0,16.0,0.9333333,-1.1190476
01-17,2004.0,1.0,17.0,0.23809521,-1.8857142
01-18,2004.0,1.0,18.0,0.6904762,-1.9285715
01-19,2004.0,1.0,19.0,1.4666666,-1.4333334
01-20,2004.0,1.0,20.0,1.4238095,-1.695238
01-21,2004.0,1.0,21.0,1.51,-1.985
01-22,2004.0,1.0,22.0,1.0666666,-1.8619047
01-23,2004.0,1.0,23.0,1.4333334,-1.2619047
01-24,2004.0,1.0,24.0,1.9428571,-1.695238
01-25,2004.0,1.0,25.0,1.8904762,-2.5285714
01-26,2004.0,1.0,26.0,1.6095238,-2.6
01-27,2004.0,1.0,27.0,1.0238096,-2.6904762
01-28,2004.0,1.0,28.0,0.9,-2.7285714
01-29,2004.0,1.0,29.0,0.7285714,-2.0952382
01-30,2004.0,1.0,30.0,1.1,-2.0380952
01-31,2004.0,1.0,31.0,1.4523809,-2.0285714
02-01,2004.0,2.0,1.0,1.0619048,-2.2238095
02-02,2004.0,2.0,2.0,0.60476196,-2.0952382
02-03,2004.0,2.0,3.0,0.05714282,-2.0666668
02-04,2004.0,2.0,4.0,0.009999981,-1.8299999
02-05,2004.0,2.0,5.0,0.005263106,-1.6631579
02-06,2004.0,2.0,6.0,-0.17499998,-1.8449999
02-07,2004.0,2.0,7.0,-0.3,-1.4449999
02-08,2004.0,2.0,8.0,0.4619047,-2.0190477
02-09,2004.0,2.0,9.0,0.25238097,-1.3380953
02-10,2004.0,2.0,10.0,-0.3285714,-1.9714286
02-11,2004.0,2.0,11.0,-0.40952381,-2.295238
02-12,2004.0,2.0,12.0,0.22380954,-1.7238096
02-13,2004.0,2.0,13.0,-0.16190477,-1.9000001
02-14,2004.0,2.0,14.0,-0.42857143,-1.4285715
02-15,2004.0,2.0,15.0,-0.24210523,-1.4157895
02-16,2004.0,2.0,16.0,-0.026315814,-1.8736842
02-17,2004.0,2.0,17.0,0.7578947,-1.9736842
02-18,2004.0,2.0,18.0,0.47894743,-2.1105263
02-19,2004.0,2.0,19.0,0.4578947,-1.6315789
02-20,2004.0,2.0,20.0,-0.0894737,-1.6631579
02-21,2004.0,2.0,21.0,0.03157897,-1.8368422
02-22,2004.0,2.0,22.0,0.08888892,-1.1722221
02-23,2004.0,2.0,23.0,0.3368421,-1.4421053
02-24,2004.0,2.0,24.0,0.665,-1.52
02-25,2004.0,2.0,25.0,1.695,-2.0049999
02-26,2004.0,2.0,26.0,0.5199999,-2.19
02-27,2004.0,2.0,27.0,-0.59499997,-2.215
02-28,2004.0,2.0,28.0,-0.35500002,-2.215
03-01,2004.0,3.0,1.0,0.07499997,-1.8700001
03-02,2004.0,3.0,2.0,-0.64,-1.65
03-03,2004.0,3.0,3.0,-0.8299999,-1.6850001
03-04,2004.0,3.0,4.0,-0.10500009,-1.245
03-05,2004.0,3.0,5.0,0.78999996,-2.1100001
03-06,2004.0,3.0,6.0,1.01,-2.17
03-07,2004.0,3.0,7.0,0.42000002,-1.885
03-08,2004.0,3.0,8.0,1.05,-1.8799999
03-09,2004.0,3.0,9.0,1.2190477,-1.8523809
03-10,2004.0,3.0,10.0,0.72380954,-2.1095238
03-11,2004.0,3.0,11.0,0.09523807,-2.209524
03-12,2004.0,3.0,12.0,0.25454548,-1.4499999
03-13,2004.0,3.0,13.0,0.55909085,-1.1272727
03-14,2004.0,3.0,14.0,0.5863637,-1.75
03-15,2004.0,3.0,15.0,-0.17727269,-1.6227273
03-16,2004.0,3.0,16.0,-0.29545453,-1.1590909
03-17,2004.0,3.0,17.0,-0.25909093,-1.2590909
03-18,2004.0,3.0,18.0,0.60476184,-1.3428571
03-19,2004.0,3.0,19.0,0.40434784,-1.1086956
03-20,2004.0,3.0,20.0,-0.13913041,-1.3521738
03-21,2004.0,3.0,21.0,-0.6333334,-1.4708333
03-22,2004.0,3.0,22.0,-0.35217392,-1.6826087
03-23,2004.0,3.0,23.0,-0.126087,-1.5826088
03-24,2004.0,3.0,24.0,0.21363634,-0.8181818
03-25,2004.0,3.0,25.0,0.14090909,-0.8681818
03-26,2004.0,3.0,26.0,0.81739134,-1.3173913
03-27,2004.0,3.0,27.0,0.6347826,-1.2521739
03-28,2004.0,3.0,28.0,0.07391304,-1.0652174
03-29,2004.0,3.0,29.0,-0.32608697,-1.4347826
03-30,2004.0,3.0,30.0,-0.1391304,-1.1434783
03-31,2004.0,3.0,31.0,-0.10869562,-0.626087
04-01,2004.0,4.0,1.0,-0.5739131,-0.2043478
04-02,2004.0,4.0,2.0,-0.5454545,-0.46818182
04-03,2004.0,4.0,3.0,-0.4652174,-0.9347826
04-04,2004.0,4.0,4.0,-0.4478261,-0.99130434
04-05,2004.0,4.0,5.0,0.030434769,-1.4
04-06,2004.0,4.0,6.0,0.48636368,-1.6863636
04-07,2004.0,4.0,7.0,0.4045455,-1.5363636
04-08,2004.0,4.0,8.0,-0.054545414,-0.55
04-09,2004.0,4.0,9.0,-0.6363636,-0.85
04-10,2004.0,4.0,10.0,-0.049999997,0.05454544
04-11,2004.0,4.0,11.0,-0.014285678,-0.66190475
04-12,2004.0,4.0,12.0,0.43181822,-0.8681818
04-13,2004.0,4.0,13.0,0.49090907,0.24999996
04-14,2004.0,4.0,14.0,0.24090908,0.21363635
04-15,2004.0,4.0,15.0,-0.35,-0.9045454
04-16,2004.0,4.0,16.0,0.10000002,-0.37727273
04-17,2004.0,4.0,17.0,0.10454543,-0.41818187
04-18,2004.0,4.0,18.0,0.018181823,-0.6545454
04-19,2004.0,4.0,19.0,-0.24090914,-0.82272726
04-20,2004.0,4.0,20.0,0.17142856,-0.9619048
04-21,2004.0,4.0,21.0,-0.47727272,-0.2
04-22,2004.0,4.0,22.0,-0.35909086,-0.6727273
04-23,2004.0,4.0,23.0,-0.8954546,-1.0318183
04-24,2004.0,4.0,24.0,-0.74090916,-0.8363636
04-25,2004.0,4.0,25.0,-1.0380952,0.052380964
04-26,2004.0,4.0,26.0,-1.47,-0.10999999
04-27,2004.0,4.0,27.0,-1.1095238,-0.10952382
04-28,2004.0,4.0,28.0,-1.0285714,-0.18095237
04-29,2004.0,4.0,29.0,-0.60952383,-0.27619043
04-30,2004.0,4.0,30.0,-0.40476185,-0.24285714
05-01,2004.0,5.0,1.0,-0.85454553,-0.37272727
05-02,2004.0,5.0,2.0,-1.1454545,-0.095454566
05-03,2004.0,5.0,3.0,-1.2590909,0.19545455
05-04,2004.0,5.0,4.0,-1.2363635,0.12272727
05-05,2004.0,5.0,5.0,-1.8272728,0.04999999
05-06,2004.0,5.0,6.0,-1.4,0.53636366
05-07,2004.0,5.0,7.0,-1.3045455,0.53636366
05-08,2004.0,5.0,8.0,-1.5409089,0.8727272
05-09,2004.0,5.0,9.0,-0.99090904,0.54545456
05-10,2004.0,5.0,10.0,-0.70454544,0.39545453
05-11,2004.0,5.0,11.0,-0.66818184,0.5772727
05-12,2004.0,5.0,12.0,-0.6454546,-0.23636363
05-13,2004.0,5.0,13.0,-0.15909094,0.16363636
05-14,2004.0,5.0,14.0,-1.0272727,0.109090894
05-15,2004.0,5.0,15.0,-1.0857142,0.047619063
05-16,2004.0,5.0,16.0,-1.3666666,-0.019047633
05-17,2004.0,5.0,17.0,-1.0571429,0.0047619045
05-18,2004.0,5.0,18.0,-0.5142857,-0.4047619
05-19,2004.0,5.0,19.0,0.8428572,-0.6047619
05-20,2004.0,5.0,20.0,0.3285714,-0.019047601
05-21,2004.0,5.0,21.0,-0.6904762,0.004761923
05-22,2004.0,5.0,22.0,-0.77619046,-0.1047619
05-23,2004.0,5.0,23.0,-1.3190477,0.90952384
05-24,2004.0,5.0,24.0,-1.7428571,0.5142857
05-25,2004.0,5.0,25.0,-1.5714285,0.042857148
05-26,2004.0,5.0,26.0,-0.9571429,0.13809524
05-27,2004.0,5.0,27.0,-0.75238097,0.43333334
05-28,2004.0,5.0,28.0,-0.9571429,0.32857147
05-29,2004.0,5.0,29.0,-1.0714285,-0.43809524
05-30,2004.0,5.0,30.0,-1.0047619,-0.16666667
05-31,2004.0,5.0,31.0,-1.3,0.58095235
06-01,2004.0,6.0,1.0,-1.6619047,0.43809524
06-02,2004.0,6.0,2.0,-1.4904761,-0.14285712
06-03,2004.0,6.0,3.0,-1.0761905,0.2761905
06-04,2004.0,6.0,4.0,-1.6619048,0.2952381
06-05,2004.0,6.0,5.0,-1.5,0.53333336
06-06,2004.0,6.0,6.0,-1.7199999,0.46000004
06-07,2004.0,6.0,7.0,-1.6619048,0.37619048
06-08,2004.0,6.0,8.0,-1.0142857,0.55714285
06-09,2004.0,6.0,9.0,-0.63809526,1.1380953
06-10,2004.0,6.0,10.0,-0.78095233,0.71904767
06-11,2004.0,6.0,11.0,-1.1809524,1.0904762
06-12,2004.0,6.0,12.0,-1.5809524,0.91428566
06-13,2004.0,6.0,13.0,-1.3399999,1.155
06-14,2004.0,6.0,14.0,-0.59999996,0.43157893
06-15,2004.0,6.0,15.0,-0.98947364,1.2789474
06-16,2004.0,6.0,16.0,-1.1684211,1.5210527
06-17,2004.0,6.0,17.0,-1.1526315,0.4473684
06-18,2004.0,6.0,18.0,-0.61578953,-0.17368424
06-19,2004.0,6.0,19.0,-0.44210523,0.6789473
06-20,2004.0,6.0,20.0,-1.0631579,1.0473685
06-21,2004.0,6.0,21.0,-1.031579,1.4210526
06-22,2004.0,6.0,22.0,-1.8789474,1.4157895
06-23,2004.0,6.0,23.0,-1.3263159,0.49473682
06-24,2004.0,6.0,24.0,-0.38421053,0.9105263
06-25,2004.0,6.0,25.0,-0.17777774,-0.050000012
06-26,2004.0,6.0,26.0,-0.3263158,0.34736842
06-27,2004.0,6.0,27.0,-0.34736836,-0.15263163
06-28,2004.0,6.0,28.0,-0.15789472,0.20526314
06-29,2004.0,6.0,29.0,-0.24736845,0.6421053
06-30,2004.0,6.0,30.0,-0.36315787,1.1263157
07-01,2004.0,7.0,1.0,0.4526316,1.2631578
07-02,2004.0,7.0,2.0,0.0894737,1.9157896
07-03,2004.0,7.0,3.0,0.6111111,2.038889
07-04,2004.0,7.0,4.0,-0.31666672,1.3277777
07-05,2004.0,7.0,5.0,-0.02222222,1.2111111
07-06,2004.0,7.0,6.0,0.19444443,1.1222223
07-07,2004.0,7.0,7.0,-0.38333336,1.0999999
07-08,2004.0,7.0,8.0,-1.3111111,0.5388889
07-09,2004.0,7.0,9.0,-0.6388889,0.39444444
07-10,2004.0,7.0,10.0,-0.20555556,0.9722222
07-11,2004.0,7.0,11.0,-0.6666667,0.6166666
07-12,2004.0,7.0,12.0,-0.70555556,1.0055556
07-13,2004.0,7.0,13.0,-1.1500001,1.2333333
