time2,year,month,day,winds_u,winds_v
01-01,2006.0,1.0,1.0,-6.0206623,0.084692895
01-02,2006.0,1.0,2.0,-5.923132,-0.253141
01-03,2006.0,1.0,3.0,-6.1910133,-0.2022059
01-04,2006.0,1.0,4.0,-5.823391,-0.24465805
01-05,2006.0,1.0,5.0,-5.797474,-0.99858433
01-06,2006.0,1.0,6.0,-5.9121284,-0.66194457
01-07,2006.0,1.0,7.0,-6.3581767,-0.50605464
01-08,2006.0,1.0,8.0,-5.6379514,-0.5777036
01-09,2006.0,1.0,9.0,-5.318988,0.028335279
01-10,2006.0,1.0,10.0,-5.485826,-0.37970135
01-11,2006.0,1.0,11.0,-5.3579507,-0.24542464
01-12,2006.0,1.0,12.0,-5.336817,0.117494404
01-13,2006.0,1.0,13.0,-6.072351,-0.75673366
01-14,2006.0,1.0,14.0,-5.989834,-0.29459912
01-15,2006.0,1.0,15.0,-5.793945,-0.7920874
01-16,2006.0,1.0,16.0,-5.97831,-1.360334
01-17,2006.0,1.0,17.0,-6.3013105,-1.7324569
01-18,2006.0,1.0,18.0,-6.2794185,-1.254821
01-19,2006.0,1.0,19.0,-6.224431,-0.723128
01-20,2006.0,1.0,20.0,-6.0726347,-1.301078
01-21,2006.0,1.0,21.0,-6.123505,-1.7049594
01-22,2006.0,1.0,22.0,-5.688064,-0.81431246
01-23,2006.0,1.0,23.0,-6.0359526,-0.73774445
01-24,2006.0,1.0,24.0,-6.046895,-1.0798893
01-25,2006.0,1.0,25.0,-5.9017854,-1.5558883
01-26,2006.0,1.0,26.0,-6.1786857,-1.0965569
01-27,2006.0,1.0,27.0,-6.059767,-0.59245294
01-28,2006.0,1.0,28.0,-5.596,-1.6927516
01-29,2006.0,1.0,29.0,-5.963955,-1.8273176
01-30,2006.0,1.0,30.0,-6.0436587,-2.0104632
01-31,2006.0,1.0,31.0,-6.1160536,-1.2945942
02-01,2006.0,2.0,1.0,-6.294457,-2.0482786
02-02,2006.0,2.0,2.0,-6.0783486,-1.6248015
02-03,2006.0,2.0,3.0,-5.781826,-1.95051
02-04,2006.0,2.0,4.0,-5.695349,-1.8523716
02-05,2006.0,2.0,5.0,-5.9114122,-1.2280793
02-06,2006.0,2.0,6.0,-5.9856825,-1.9339361
02-07,2006.0,2.0,7.0,-6.1589475,-1.5136969
02-08,2006.0,2.0,8.0,-6.2194195,-1.8619176
02-09,2006.0,2.0,9.0,-6.042596,-2.3550198
02-10,2006.0,2.0,10.0,-5.8888993,-2.5843995
02-11,2006.0,2.0,11.0,-6.2489047,-1.5743207
02-12,2006.0,2.0,12.0,-5.7583737,-1.2280666
02-13,2006.0,2.0,13.0,-5.2706285,-1.4828398
02-14,2006.0,2.0,14.0,-5.6401334,-1.4499167
02-15,2006.0,2.0,15.0,-5.955579,-0.99803185
02-16,2006.0,2.0,16.0,-5.9192567,-1.6160537
02-17,2006.0,2.0,17.0,-6.08119,-1.5250217
02-18,2006.0,2.0,18.0,-6.122543,-1.544131
02-19,2006.0,2.0,19.0,-6.300673,-1.7994952
02-20,2006.0,2.0,20.0,-6.2214003,-0.93327886
02-21,2006.0,2.0,21.0,-6.452988,-1.4471837
02-22,2006.0,2.0,22.0,-6.3707857,-2.5267136
02-23,2006.0,2.0,23.0,-6.4493575,-1.8578815
02-24,2006.0,2.0,24.0,-6.7046857,-1.2274967
02-25,2006.0,2.0,25.0,-6.2923355,-1.2374997
02-26,2006.0,2.0,26.0,-6.4128203,-1.2660079
02-27,2006.0,2.0,27.0,-6.226503,-1.741581
