salinity_sfile,temperature_sfile,pressure,doxy
34.785599,21.9,121.959999,
34.781532,21.627096,122.879997,
34.777287,21.342327,123.839996,136.42189
34.776402,21.283001,124.040001,
34.771515,21.117144,124.879997,
34.765697,20.919693,125.879997,134.51944
34.764999,20.896,126.0,
34.762623,20.615721,126.879997,
34.760033,20.309961,127.839996,133.528961
34.759602,20.259001,128.0,
34.754311,20.06958,128.839996,
34.747757,19.83506,129.880005,135.149506
34.747002,19.808001,130.0,
34.738201,19.677727,130.880005,
34.7286,19.535608,131.839996,133.095657
34.726601,19.506001,132.039993,
34.725677,19.31406,132.880005,
34.724621,19.0947,133.839996,127.87117
34.7244,19.049,134.039993,
34.723972,18.807285,134.880005,
34.723503,18.542551,135.800003,126.35656
34.7234,18.485001,136.0,
34.713558,18.237,136.800003,
34.700275,17.902201,137.880005,126.51564
34.698799,17.865,138.0,
34.692242,17.732569,138.880005,
34.684792,17.582079,139.880005,126.065109
34.683601,17.558001,140.039993,
34.678028,17.424715,140.880005,
34.671928,17.278734,141.800003,123.198593
34.670601,17.247,142.0,
34.658279,16.9286,142.800003,
34.642879,16.5306,143.800003,118.687218
34.639801,16.451,144.0,
34.621269,16.142429,144.800003,
34.597179,15.741285,145.839996,117.821342
34.594398,15.695,145.960007,
34.596951,15.5124,146.839996,
34.599621,15.3215,147.759995,113.406197
34.600201,15.28,147.960007,
34.586033,15.13172,148.839996,
34.57122,14.9767,149.759995,108.568626
34.568001,14.943,149.960007,
34.561661,14.769236,150.800003,
34.553505,14.545823,151.880005,107.92337
34.552601,14.521,152.0,
34.550354,14.477448,152.880005,
34.547905,14.429938,153.839996,107.563789
34.5476,14.424,153.960007,
34.548336,14.38352,154.880005,
34.549068,14.34304,155.800003,108.142288
34.549198,14.336,155.960007,
34.553623,14.274077,156.880005,
34.558044,14.212154,157.800003,107.824135
34.5592,14.196,158.039993,
34.5592,14.139857,158.880005,
34.5592,14.086388,159.679993,105.999901
34.5592,14.065,160.0,
34.555168,14.013816,160.759995,
34.550076,13.949162,161.720001,104.275551
34.548801,13.933,161.960007,
34.549953,13.816882,162.800003,
34.55138,13.673118,163.839996,102.345619
34.551601,13.651,164.0,
34.548008,13.554673,164.800003,
34.543697,13.439081,165.759995,100.258797
34.542801,13.415,165.960007,
34.540592,13.35658,166.880005,
34.538383,13.298161,167.800003,97.522942
34.537998,13.288,167.960007,
34.536507,13.215059,168.759995,
34.534645,13.123882,169.759995,93.975128
34.534199,13.102,170.0,
34.530857,13.010921,170.880005,
34.527969,12.932261,171.639999,89.51461
34.5266,12.895,172.0,
34.532185,12.750755,172.759995,
34.538944,12.576142,173.679993,82.297821
34.541,12.523,173.960007,
34.536598,12.3054,174.759995,
34.53088,12.02252,175.800003,78.338356
34.529999,11.979,175.960007,
34.534199,11.880589,176.800003,
34.538399,11.782176,177.639999,69.927628
34.540199,11.74,178.0,
34.541454,11.669804,178.800003,
34.543087,11.578548,179.839996,57.004147
34.5434,11.561,180.039993,
34.545441,11.503857,180.839996,
34.547688,11.441,181.720001,53.148163
34.548401,11.421,182.0,
34.552124,11.37768,182.759995,
34.55722,11.3184,183.800003,54.86335
34.558201,11.307,184.0,
34.557613,11.27466,184.839996,
34.556995,11.24078,185.720001,52.701675
34.556801,11.23,186.0,
34.556953,11.22164,186.759995,
34.557159,11.2102,187.800003,49.271564
34.557201,11.208,188.0,
34.560413,11.199764,188.839996,
34.563927,11.190745,189.759995,46.94289
34.564999,11.188,190.039993,
34.567017,11.163571,190.800003,
34.569458,11.134,191.720001,50.045712
34.570202,11.125,192.0,
34.568882,11.110266,192.759995,
34.567284,11.092428,193.679993,49.916977
34.566799,11.087,193.960007,
34.568775,11.064765,194.679993,
34.571739,11.031412,195.759995,46.153736
34.572399,11.024,196.0,
34.576355,10.979577,196.839996,
34.580692,10.930923,197.759995,46.965725
34.582199,10.914,198.080002,
34.581463,10.852776,198.880005,
34.58062,10.782368,199.800003,46.164173
34.580399,10.764,200.039993,
34.582016,10.731306,200.759995,
34.584084,10.68953,201.679993,39.250244
34.584801,10.675,202.0,
34.591209,10.665687,202.759995,
34.599304,10.653921,203.720001,30.732296
34.602001,10.65,204.039993,
34.610081,10.646,204.839996,
34.61816,10.642,205.639999,28.724241
34.6222,10.64,206.039993,
34.622978,10.612021,206.720001,
34.624126,10.570875,207.720001,30.21203
34.624401,10.561,207.960007,
34.625797,10.552551,208.679993,
34.627659,10.541286,209.639999,32.5667
34.628201,10.538,209.919998,
34.628895,10.487231,210.720001,
34.629864,10.416154,211.839996,37.432159
34.630001,10.406,212.0,
34.62772,10.38016,212.759995,
34.62532,10.352961,213.559998,40.20113
34.624001,10.338,214.0,
34.622612,10.30249,214.800003,
34.620949,10.259878,215.759995,42.460796
34.620602,10.251,215.960007,
34.623116,10.23349,216.839996,
34.625744,10.215183,217.759995,39.781189
34.626202,10.212,217.919998,
34.629417,10.190824,218.720001,
34.633274,10.165412,219.679993,39.448647
34.634399,10.158,219.960007,
34.634628,10.13634,220.720001,
34.634964,10.10442,221.839996,40.669037
34.634998,10.101,221.960007,
34.635235,10.064921,222.759995,
34.635506,10.023431,223.679993,42.49733
34.635601,10.009,224.0,
34.634048,9.993877,224.759995,
34.631844,9.972388,225.839996,46.801044
34.631599,9.97,225.960007,
34.630005,9.92858,226.720001,
34.627735,9.86972,227.800003,50.697052
34.627399,9.861,227.960007,
34.623829,9.8306,228.720001,
34.618752,9.7874,229.800003,50.255867
34.618,9.781,229.960007,
34.618595,9.772431,230.720001,
34.619411,9.760706,231.759995,47.946228
34.619598,9.758,232.0,
34.621574,9.748118,232.839996,
34.623363,9.739177,233.600006,45.84948
34.624401,9.734,234.039993,
34.624634,9.731673,234.800003,
34.624916,9.728857,235.720001,44.691875
34.625,9.728,236.0,
34.62553,9.723439,236.759995,
34.626289,9.71696,237.839996,43.979038
34.6264,9.716,238.0,
34.627666,9.703706,238.759995,
34.6292,9.688823,239.679993,44.787338
34.629799,9.683,240.039993,
34.628731,9.667353,240.880005,
34.627609,9.650961,241.759995,45.884048
