time,time2,year,month,day,winds_u,winds_v
2017-04-02,04-02,2017,4,2,-4.9855523,3.8218524
2017-04-03,04-03,2017,4,3,-4.4831367,6.862071
2017-04-04,04-04,2017,4,4,-5.564936,2.865983
2017-04-05,04-05,2017,4,5,-6.1850877,2.3454182
2017-04-06,04-06,2017,4,6,-2.7915564,-0.2850102
2017-04-07,04-07,2017,4,7,-3.6104066,-5.639307
2017-04-08,04-08,2017,4,8,-0.3889645,-4.430717
2017-04-09,04-09,2017,4,9,-0.28554788,-7.560588
2017-04-10,04-10,2017,4,10,-0.20342478,-7.9225793
2017-04-11,04-11,2017,4,11,1.5447035,-8.093652
2017-04-12,04-12,2017,4,12,0.43575844,-7.7124286
2017-04-13,04-13,2017,4,13,0.45213425,-6.3169823
2017-04-14,04-14,2017,4,14,1.9265319,-6.975199
2017-04-15,04-15,2017,4,15,-1.0327442,-7.492471
2017-04-16,04-16,2017,4,16,-2.2567806,-8.082642
2017-04-17,04-17,2017,4,17,1.2833158,-9.1258335
2017-04-18,04-18,2017,4,18,-0.14974175,-8.857059
2017-04-19,04-19,2017,4,19,1.3656898,-7.9210973
2017-04-20,04-20,2017,4,20,4.306831,-6.018675
2017-04-21,04-21,2017,4,21,-2.5227954,-8.1208725
2017-04-22,04-22,2017,4,22,-1.6559916,-8.510468
2017-04-23,04-23,2017,4,23,0.87986857,-8.222845
2017-04-24,04-24,2017,4,24,3.0811493,-7.3755317
2017-04-25,04-25,2017,4,25,1.7390723,-6.7551947
2017-04-26,04-26,2017,4,26,1.1936178,-4.5679173
2017-04-27,04-27,2017,4,27,-1.1834701,-5.765628
2017-04-28,04-28,2017,4,28,5.0189567,-6.798901
2017-04-29,04-29,2017,4,29,2.6183133,-7.090179
2017-04-30,04-30,2017,4,30,-0.6079004,-5.9019313
2017-05-01,05-01,2017,5,1,2.5606203,-2.4750977
2017-05-02,05-02,2017,5,2,3.9895017,-4.447246
2017-05-03,05-03,2017,5,3,1.4557806,-5.9471784
2017-05-04,05-04,2017,5,4,0.6055752,-4.3019114
2017-05-05,05-05,2017,5,5,2.2326412,-2.2650843
2017-05-06,05-06,2017,5,6,3.5218742,-2.347116
2017-05-07,05-07,2017,5,7,0.33989936,-0.50226814
2017-05-08,05-08,2017,5,8,-0.6569183,3.8431106
2017-05-09,05-09,2017,5,9,-0.3075271,4.3000016
2017-05-10,05-10,2017,5,10,0.3106095,3.1482522
2017-05-11,05-11,2017,5,11,-0.91751796,2.1880898
2017-05-12,05-12,2017,5,12,-2.4055429,4.110951
2017-05-13,05-13,2017,5,13,-0.48324832,3.1941633
2017-05-14,05-14,2017,5,14,-1.4262055,3.964268
2017-05-15,05-15,2017,5,15,-0.5990333,4.0445127
2017-05-16,05-16,2017,5,16,-1.5798583,0.36365905
2017-05-17,05-17,2017,5,17,-4.05289,4.2560687
2017-05-18,05-18,2017,5,18,-1.5138525,4.663916
2017-05-19,05-19,2017,5,19,0.20199467,1.2646638
2017-05-20,05-20,2017,5,20,-4.12109,1.5248781
2017-05-21,05-21,2017,5,21,-3.010151,5.922284
2017-05-22,05-22,2017,5,22,-1.3800738,2.001552
2017-05-23,05-23,2017,5,23,-4.0272455,0.68885326
2017-05-24,05-24,2017,5,24,-3.4362743,4.059831
2017-05-25,05-25,2017,5,25,-1.2678039,3.9462337
2017-05-26,05-26,2017,5,26,-3.2774367,0.21010762
2017-05-27,05-27,2017,5,27,-4.437049,1.0792468
2017-05-28,05-28,2017,5,28,-3.120046,5.398518
2017-05-29,05-29,2017,5,29,-2.2528322,1.7259831
2017-05-30,05-30,2017,5,30,-4.167086,1.2646059
2017-05-31,05-31,2017,5,31,-2.901513,4.3442454
2017-06-01,06-01,2017,6,1,-0.2514214,0.08481468
2017-06-02,06-02,2017,6,2,-4.8683777,-0.3540718
2017-06-03,06-03,2017,6,3,-1.2007989,3.723832
2017-06-04,06-04,2017,6,4,0.2752396,3.3216953
2017-06-05,06-05,2017,6,5,0.90312177,-1.1465597
2017-06-06,06-06,2017,6,6,-1.5361097,2.4362502
2017-06-07,06-07,2017,6,7,0.8922734,6.091355
2017-06-08,06-08,2017,6,8,2.9003444,-3.3853512
2017-06-09,06-09,2017,6,9,-2.624986,1.0699248
2017-06-10,06-10,2017,6,10,1.7805266,4.395103
2017-06-11,06-11,2017,6,11,4.733531,-0.9079861
2017-06-12,06-12,2017,6,12,-2.098216,-1.5491849
2017-06-13,06-13,2017,6,13,-0.4974583,4.680436
2017-06-14,06-14,2017,6,14,1.5265579,2.2145772
2017-06-15,06-15,2017,6,15,-0.60352373,-0.7618207
2017-06-16,06-16,2017,6,16,0.18120079,3.9356804
2017-06-17,06-17,2017,6,17,3.9660492,-1.9950036
2017-06-18,06-18,2017,6,18,-0.9166045,-4.01051
2017-06-19,06-19,2017,6,19,0.29708228,0.38235486
2017-06-20,06-20,2017,6,20,4.451359,-2.8371348
2017-06-21,06-21,2017,6,21,2.6316845,-6.261872
2017-06-22,06-22,2017,6,22,-0.6169391,-3.7925618
2017-06-23,06-23,2017,6,23,3.1919312,-0.8643635
2017-06-24,06-24,2017,6,24,2.990341,-5.3518476
2017-06-25,06-25,2017,6,25,0.40433893,-5.8526897
2017-06-26,06-26,2017,6,26,3.0135384,-1.8483534
2017-06-27,06-27,2017,6,27,3.6754212,-6.74265
2017-06-28,06-28,2017,6,28,1.7072593,-6.277329
2017-06-29,06-29,2017,6,29,4.756041,-3.369079
2017-06-30,06-30,2017,6,30,5.1710067,-6.9796147
2017-07-01,07-01,2017,7,1,2.8729825,-6.4118414
2017-07-02,07-02,2017,7,2,-1.2622083,-0.0075147143
2017-07-03,07-03,2017,7,3,3.6258514,1.9757179
2017-07-04,07-04,2017,7,4,4.438891,-7.010669
2017-07-05,07-05,2017,7,5,-2.0708685,-7.0356183
2017-07-06,07-06,2017,7,6,0.35811362,-1.5687588
2017-07-07,07-07,2017,7,7,6.369053,-4.631788
2017-07-08,07-08,2017,7,8,0.8999425,-8.989219
2017-07-09,07-09,2017,7,9,-3.0293114,-1.6816517
2017-07-10,07-10,2017,7,10,1.872054,2.1836295
2017-07-11,07-11,2017,7,11,2.9687793,-3.1202302
2017-07-12,07-12,2017,7,12,-2.854356,-3.7635412
2017-07-13,07-13,2017,7,13,-1.4564407,1.4098396
2017-07-14,07-14,2017,7,14,3.6516652,-1.9362088
2017-07-15,07-15,2017,7,15,0.52205193,-7.1869984
2017-07-16,07-16,2017,7,16,-4.2362204,-1.5601991
2017-07-17,07-17,2017,7,17,0.8694032,3.2867632
2017-07-18,07-18,2017,7,18,-0.03275621,-6.9280834
2017-07-19,07-19,2017,7,19,-3.729174,-1.1504463
2017-07-20,07-20,2017,7,20,-0.499179,2.5558488
2017-07-21,07-21,2017,7,21,0.6842401,0.8733468
2017-07-22,07-22,2017,7,22,-4.116941,-3.6806056
2017-07-23,07-23,2017,7,23,-3.9627435,3.2934878
2017-07-24,07-24,2017,7,24,-0.95356977,2.4520035
2017-07-25,07-25,2017,7,25,-2.0819547,0.28903183
2017-07-26,07-26,2017,7,26,-3.1838207,0.6563296
