time,time2,year,month,day,winds_u,winds_v
2016-01-01,01-01,2016,1,1,4.9577146,1.1964005
2016-01-02,01-02,2016,1,2,7.4919467,-1.1770929
2016-01-03,01-03,2016,1,3,7.0869946,2.3325102
2016-01-04,01-04,2016,1,4,9.209399,3.119475
2016-01-05,01-05,2016,1,5,5.581621,3.9579594
2016-01-06,01-06,2016,1,6,7.6139483,6.0002184
2016-01-07,01-07,2016,1,7,7.302066,4.289205
2016-01-08,01-08,2016,1,8,6.5439587,2.4599018
2016-01-09,01-09,2016,1,9,5.5582056,1.8872818
2016-01-10,01-10,2016,1,10,4.342573,3.2699761
2016-01-11,01-11,2016,1,11,2.132755,1.6063328
2016-01-12,01-12,2016,1,12,4.553188,-1.4283954
2016-01-13,01-13,2016,1,13,8.12311,-3.1349509
2016-01-14,01-14,2016,1,14,7.6495357,-2.981474
2016-01-15,01-15,2016,1,15,9.215341,-2.207502
2016-01-16,01-16,2016,1,16,7.5408573,-1.759991
2016-01-17,01-17,2016,1,17,5.899727,-1.6739008
2016-01-18,01-18,2016,1,18,6.606377,-0.3642477
2016-01-19,01-19,2016,1,19,6.106103,-1.2551317
2016-01-20,01-20,2016,1,20,4.742581,-0.7933262
2016-01-21,01-21,2016,1,21,3.9417644,-2.244537
2016-01-22,01-22,2016,1,22,0.60707635,0.64920497
2016-01-23,01-23,2016,1,23,-2.582399,1.578561
2016-01-24,01-24,2016,1,24,-2.9726772,-0.44243973
2016-01-25,01-25,2016,1,25,-0.8766523,-1.5508575
2016-01-26,01-26,2016,1,26,-1.7347031,-0.8247366
2016-01-27,01-27,2016,1,27,-1.4847504,0.451118
2016-01-28,01-28,2016,1,28,-1.9433341,-0.53979206
2016-01-29,01-29,2016,1,29,1.2422364,-0.8396724
2016-01-30,01-30,2016,1,30,2.233475,0.444288
2016-01-31,01-31,2016,1,31,2.0957048,-0.11265902
2016-02-01,02-01,2016,2,1,1.9095675,0.25399825
2016-02-02,02-02,2016,2,2,0.42436245,-1.3957363
2016-02-03,02-03,2016,2,3,-1.1959113,-0.86959785
2016-02-04,02-04,2016,2,4,-0.3080169,-1.8426764
2016-02-05,02-05,2016,2,5,-0.43737224,0.25972626
2016-02-06,02-06,2016,2,6,-4.0846515,-3.8236918
2016-02-07,02-07,2016,2,7,0.6023856,-1.6229655
2016-02-08,02-08,2016,2,8,-2.8905883,-0.7808426
2016-02-09,02-09,2016,2,9,0.9266636,-0.8125441
2016-02-10,02-10,2016,2,10,-1.188025,-0.38054964
2016-02-11,02-11,2016,2,11,-2.3064935,-0.086208485
2016-02-12,02-12,2016,2,12,-3.5718603,0.63139606
2016-02-13,02-13,2016,2,13,-0.10652321,-0.863299
2016-02-14,02-14,2016,2,14,0.9242062,-1.7023993
2016-02-15,02-15,2016,2,15,1.9169303,-2.2182953
2016-02-16,02-16,2016,2,16,2.7679954,-4.8332157
2016-02-17,02-17,2016,2,17,5.387415,-6.7721715
2016-02-18,02-18,2016,2,18,0.12232157,-6.2052693
2016-02-19,02-19,2016,2,19,-0.7718977,-6.9443746
2016-02-20,02-20,2016,2,20,-0.2099628,-3.5567808
2016-02-21,02-21,2016,2,21,-1.3681207,1.4951292
2016-02-22,02-22,2016,2,22,-1.7497175,-1.9133834
2016-02-23,02-23,2016,2,23,2.1897788,2.4727654
2016-02-24,02-24,2016,2,24,0.44923517,1.2498026
2016-02-25,02-25,2016,2,25,7.9029794,0.67823756
2016-02-26,02-26,2016,2,26,7.964249,0.5985156
2016-02-27,02-27,2016,2,27,6.8033485,-2.4239342
2016-02-28,02-28,2016,2,28,8.099325,-2.3220024
2016-03-01,03-01,2016,3,1,8.300453,-2.1931121
2016-03-02,03-02,2016,3,2,5.0272613,-4.5261707
2016-03-03,03-03,2016,3,3,1.7427412,-0.8254061
2016-03-04,03-04,2016,3,4,5.878101,2.4905224
2016-03-05,03-05,2016,3,5,3.0629108,3.75152
2016-03-06,03-06,2016,3,6,2.3019352,-0.53498363
2016-03-07,03-07,2016,3,7,0.55349886,-3.1391468
2016-03-08,03-08,2016,3,8,-0.5150265,-2.6251287
2016-03-09,03-09,2016,3,9,-3.9975998,-2.4759538
2016-03-10,03-10,2016,3,10,-0.06770307,0.16925259
2016-03-11,03-11,2016,3,11,-1.2325339,1.3368671
2016-03-12,03-12,2016,3,12,-1.3419105,1.4722933
2016-03-13,03-13,2016,3,13,-0.96390575,1.2319188
2016-03-14,03-14,2016,3,14,-0.88791513,-2.4815197
2016-03-15,03-15,2016,3,15,-4.4659033,0.73454213
2016-03-16,03-16,2016,3,16,-2.1166592,-0.30474448
2016-03-17,03-17,2016,3,17,-3.434584,-0.49450165
2016-03-18,03-18,2016,3,18,-2.6712127,-1.4858438
2016-03-19,03-19,2016,3,19,-4.0736127,0.32804906
2016-03-20,03-20,2016,3,20,-4.2067623,0.12748599
2016-03-21,03-21,2016,3,21,-4.9827127,-0.65880907
2016-03-22,03-22,2016,3,22,-2.618196,-0.14502256
2016-03-23,03-23,2016,3,23,-0.6205142,-1.3803552
2016-03-24,03-24,2016,3,24,0.10060822,-2.4330688
2016-03-25,03-25,2016,3,25,-0.5191507,0.21285166
2016-03-26,03-26,2016,3,26,-1.3536805,0.4539058
2016-03-27,03-27,2016,3,27,-3.5673258,-1.2202915
2016-03-28,03-28,2016,3,28,-3.9787939,-1.360847
2016-03-29,03-29,2016,3,29,-4.1906238,-1.3927056
2016-03-30,03-30,2016,3,30,-2.2308621,-1.0052053
2016-03-31,03-31,2016,3,31,-0.84637874,-1.3872124
2016-04-01,04-01,2016,4,1,0.9034207,-2.3076012
