time,time2,year,month,day,winds_u,winds_v
2017-01-01,01-01,2017,1,1,1.4,-0.2
2017-01-02,01-02,2017,1,2,2.7,-1.2
2017-01-03,01-03,2017,1,3,6.4,-0.3
2017-01-04,01-04,2017,1,4,0.8,-1.8
2017-01-05,01-05,2017,1,5,0.3,-3.1
2017-01-06,01-06,2017,1,6,-0.1,0.1
2017-01-07,01-07,2017,1,7,1.2,1.2
2017-01-08,01-08,2017,1,8,4.1,2.0
2017-01-09,01-09,2017,1,9,1.3,1.1
2017-01-10,01-10,2017,1,10,-0.6,-0.1
2017-01-11,01-11,2017,1,11,-0.4,2.5
2017-01-12,01-12,2017,1,12,-1.4,2.7
2017-01-13,01-13,2017,1,13,-1.6,-1.0
2017-01-14,01-14,2017,1,14,-1.3,-1.6
2017-01-15,01-15,2017,1,15,2.7,0.7
2017-01-16,01-16,2017,1,16,2.3,0.0
2017-01-17,01-17,2017,1,17,-0.9,-2.4
2017-01-18,01-18,2017,1,18,-1.8,-3.9
2017-01-19,01-19,2017,1,19,-2.6,-3.9
2017-01-20,01-20,2017,1,20,-3.4,-1.8
2017-01-21,01-21,2017,1,21,-1.2,-2.1
2017-01-22,01-22,2017,1,22,-1.1,-3.2
2017-01-23,01-23,2017,1,23,1.5,2.6
2017-01-24,01-24,2017,1,24,1.2,-0.6
2017-01-25,01-25,2017,1,25,0.2,-2.0
2017-01-26,01-26,2017,1,26,0.0,-2.0
2017-01-27,01-27,2017,1,27,-1.4,-1.3
2017-01-28,01-28,2017,1,28,1.4,0.6
2017-01-29,01-29,2017,1,29,-0.9,-0.9
2017-01-30,01-30,2017,1,30,-3.0,-0.9
2017-01-31,01-31,2017,1,31,-0.4,2.4
2017-02-01,02-01,2017,2,1,1.2,1.8
2017-02-02,02-02,2017,2,2,1.4,-3.5
2017-02-03,02-03,2017,2,3,0.2,-3.9
2017-02-04,02-04,2017,2,4,1.4,-1.7
2017-02-05,02-05,2017,2,5,-0.5,0.5
2017-02-06,02-06,2017,2,6,4.4,0.3
