time,time2,year,month,day,winds_u,winds_v
1993-03-27,03-27,1993,3,27,-1.1,-2.1
1993-03-28,03-28,1993,3,28,-1.7,-2.9
1993-03-29,03-29,1993,3,29,-4.2,0.3
1993-03-30,03-30,1993,3,30,-4.0,-2.1
1993-03-31,03-31,1993,3,31,-1.8,-1.9
1993-04-01,04-01,1993,4,1,0.2,-4.3
1993-04-02,04-02,1993,4,2,4.8,-0.9
1993-04-03,04-03,1993,4,3,1.3,-0.8
1993-04-04,04-04,1993,4,4,5.4,-2.5
1993-04-05,04-05,1993,4,5,-1.9,-0.3
1993-04-06,04-06,1993,4,6,-1.2,-1.7
1993-04-07,04-07,1993,4,7,-4.3,-0.7
1993-04-08,04-08,1993,4,8,-6.3,0.0
1993-04-09,04-09,1993,4,9,-3.9,1.3
1993-04-10,04-10,1993,4,10,-4.0,-1.0
1993-04-11,04-11,1993,4,11,-4.0,-1.4
1993-04-12,04-12,1993,4,12,-2.2,-0.6
1993-04-13,04-13,1993,4,13,1.1,0.0
1993-04-14,04-14,1993,4,14,-0.6,1.0
1993-04-15,04-15,1993,4,15,1.3,-0.5
1993-04-16,04-16,1993,4,16,0.5,-2.9
1993-04-17,04-17,1993,4,17,1.8,-2.4
1993-04-18,04-18,1993,4,18,-1.9,-1.9
1993-04-19,04-19,1993,4,19,-3.6,0.7
1993-04-20,04-20,1993,4,20,-2.0,-1.5
1993-04-21,04-21,1993,4,21,-0.9,-1.9
1993-04-22,04-22,1993,4,22,-0.8,-3.3
1993-04-23,04-23,1993,4,23,-4.5,-5.9
1993-04-24,04-24,1993,4,24,-5.0,-3.2
1993-04-25,04-25,1993,4,25,-6.2,-0.5
1993-04-26,04-26,1993,4,26,-2.1,0.6
1993-04-27,04-27,1993,4,27,-0.4,-2.3
1993-04-28,04-28,1993,4,28,-4.8,-1.7
1993-04-29,04-29,1993,4,29,-5.0,-0.6
1993-04-30,04-30,1993,4,30,-3.2,-3.2
1993-05-01,05-01,1993,5,1,-6.7,-2.8
1993-05-02,05-02,1993,5,2,-4.5,-3.0
1993-05-03,05-03,1993,5,3,-5.0,0.3
1993-05-04,05-04,1993,5,4,-0.7,-1.7
1993-05-05,05-05,1993,5,5,1.3,-0.7
1993-05-06,05-06,1993,5,6,-1.7,-2.5
1993-05-07,05-07,1993,5,7,0.0,-1.9
1993-05-08,05-08,1993,5,8,-2.8,-2.5
1993-05-09,05-09,1993,5,9,-5.5,-4.1
1993-05-10,05-10,1993,5,10,-5.0,-1.8
1993-05-11,05-11,1993,5,11,-0.5,-1.7
1993-05-12,05-12,1993,5,12,0.8,-3.0
