time,time2,year,month,day,winds_u,winds_v
2022-03-31,03-31,2022,3,31,-2.208542,-6.844426
2022-04-01,04-01,2022,4,1,-1.8971984,-3.9513452
2022-04-02,04-02,2022,4,2,-5.0009003,-0.5291506
2022-04-03,04-03,2022,4,3,-3.742204,-2.0932608
2022-04-04,04-04,2022,4,4,-0.53516245,-5.342465
2022-04-05,04-05,2022,4,5,-2.7736874,-5.160947
2022-04-06,04-06,2022,4,6,-4.810415,-2.02572
2022-04-07,04-07,2022,4,7,-5.8150373,-2.0587661
2022-04-08,04-08,2022,4,8,-5.38767,-2.5049276
2022-04-09,04-09,2022,4,9,-3.145804,-0.25433
2022-04-10,04-10,2022,4,10,-0.6403174,-0.36406356
2022-04-11,04-11,2022,4,11,-1.8514433,0.2954084
2022-04-12,04-12,2022,4,12,-5.1835437,0.9902388
2022-04-13,04-13,2022,4,13,-5.8490524,-0.5457256
2022-04-14,04-14,2022,4,14,-4.8400373,-2.6493604
2022-04-15,04-15,2022,4,15,-2.2565262,-2.6059532
2022-04-16,04-16,2022,4,16,-2.9228516,-2.6806967
2022-04-17,04-17,2022,4,17,-4.080974,-2.7417266
2022-04-18,04-18,2022,4,18,-4.568057,-1.0803828
2022-04-19,04-19,2022,4,19,-3.0841491,-1.973224
2022-04-20,04-20,2022,4,20,-2.2403703,-3.319024
2022-04-21,04-21,2022,4,21,-3.1203022,-5.18907
2022-04-22,04-22,2022,4,22,-4.6286488,-1.9319355
2022-04-23,04-23,2022,4,23,-5.79507,-0.1168332
2022-04-24,04-24,2022,4,24,-4.3326974,-1.7669685
2022-04-25,04-25,2022,4,25,-2.885184,-2.7055001
2022-04-26,04-26,2022,4,26,-3.6673813,-4.443863
2022-04-27,04-27,2022,4,27,-4.7268353,0.928675
2022-04-28,04-28,2022,4,28,-5.585906,-0.071846835
2022-04-29,04-29,2022,4,29,-3.8119273,-0.2443823
2022-04-30,04-30,2022,4,30,-2.8604062,-4.958877
2022-05-01,05-01,2022,5,1,-1.116196,-3.9074106
2022-05-02,05-02,2022,5,2,-3.6268928,-1.2448195
2022-05-03,05-03,2022,5,3,-3.0226555,-0.6931752
2022-05-04,05-04,2022,5,4,-1.6026115,-2.133957
2022-05-05,05-05,2022,5,5,-3.7528193,-1.3624637
2022-05-06,05-06,2022,5,6,-4.974875,-1.4296048
2022-05-07,05-07,2022,5,7,-3.521182,-2.7273173
2022-05-08,05-08,2022,5,8,-5.667195,-2.5914056
2022-05-09,05-09,2022,5,9,-6.823353,-2.9202795
2022-05-10,05-10,2022,5,10,-6.4661083,-3.3648813
2022-05-11,05-11,2022,5,11,-3.702274,-3.4040096
2022-05-12,05-12,2022,5,12,-2.3896036,-2.4668252
2022-05-13,05-13,2022,5,13,-1.7413118,-0.8303611
2022-05-14,05-14,2022,5,14,-1.2861922,-1.6975313
2022-05-15,05-15,2022,5,15,0.80264074,-2.0181322
2022-05-16,05-16,2022,5,16,1.197142,-3.0928202
2022-05-17,05-17,2022,5,17,-0.7234766,-2.4157476
2022-05-18,05-18,2022,5,18,-1.6899904,-5.3494353
2022-05-19,05-19,2022,5,19,-3.0596468,-3.9906492
2022-05-20,05-20,2022,5,20,-2.5898452,-2.740339
2022-05-21,05-21,2022,5,21,-2.5075545,-1.7864852
2022-05-22,05-22,2022,5,22,-4.9059386,-0.64869374
2022-05-23,05-23,2022,5,23,-5.0383096,-1.0414683
2022-05-24,05-24,2022,5,24,-2.7016044,-1.4930041
2022-05-25,05-25,2022,5,25,-0.9688242,0.35862002
2022-05-26,05-26,2022,5,26,-1.3052319,-1.5822635
2022-05-27,05-27,2022,5,27,0.009091163,-2.6164103
2022-05-28,05-28,2022,5,28,-3.5971966,-1.1904018
2022-05-29,05-29,2022,5,29,-5.019426,-1.812352
2022-05-30,05-30,2022,5,30,-5.8462925,-1.2051406
2022-05-31,05-31,2022,5,31,-2.1896498,-0.512823
2022-06-01,06-01,2022,6,1,0.62102544,1.0412644
2022-06-02,06-02,2022,6,2,1.4497721,-1.1445599
2022-06-03,06-03,2022,6,3,0.5954088,-0.4982505
2022-06-04,06-04,2022,6,4,-2.1867778,-0.003484593
2022-06-05,06-05,2022,6,5,-4.3934126,-2.0297275
2022-06-06,06-06,2022,6,6,-4.05688,-1.5797338
2022-06-07,06-07,2022,6,7,-3.554084,-2.4923549
2022-06-08,06-08,2022,6,8,-0.2790268,-4.1989164
2022-06-09,06-09,2022,6,9,-1.8324084,0.59106207
2022-06-10,06-10,2022,6,10,-5.0547953,0.26773325
2022-06-11,06-11,2022,6,11,-4.8754244,0.17664157
2022-06-12,06-12,2022,6,12,-1.9096977,-0.23807934
2022-06-13,06-13,2022,6,13,-1.1385497,-1.1032715
2022-06-14,06-14,2022,6,14,-2.7484078,0.27670184
2022-06-15,06-15,2022,6,15,-5.891594,-1.1747068
2022-06-16,06-16,2022,6,16,-4.7947755,-1.4422437
2022-06-17,06-17,2022,6,17,-4.562747,-3.7866147
2022-06-18,06-18,2022,6,18,-2.7790475,-0.5802215
2022-06-19,06-19,2022,6,19,-3.0344448,-0.47974065
2022-06-20,06-20,2022,6,20,-3.5490491,0.6395864
2022-06-21,06-21,2022,6,21,-5.8205357,1.3296552
2022-06-22,06-22,2022,6,22,-6.239932,-1.004521
2022-06-23,06-23,2022,6,23,-5.51408,-2.1890812
2022-06-24,06-24,2022,6,24,-6.272851,0.64609337
2022-06-25,06-25,2022,6,25,-7.898554,-0.61434
2022-06-26,06-26,2022,6,26,-8.247683,-2.961489
2022-06-27,06-27,2022,6,27,-3.9563923,-1.6406872
