time,time2,year,month,day,winds_u,winds_v
2015-01-01,01-01,2015,1,1,-5.346144,-0.73493516
2015-01-02,01-02,2015,1,2,-5.114236,-0.8503349
2015-01-03,01-03,2015,1,3,-2.5620105,-2.3526113
2015-01-04,01-04,2015,1,4,-3.5097163,-3.5838318
2015-01-05,01-05,2015,1,5,-6.37728,-4.6958246
2015-01-06,01-06,2015,1,6,-6.3854547,-2.5306773
2015-01-07,01-07,2015,1,7,-5.6133,-2.1242619
2015-01-08,01-08,2015,1,8,-3.7672832,-2.1281984
2015-01-09,01-09,2015,1,9,-5.043586,-2.5888488
2015-01-10,01-10,2015,1,10,-5.9813724,-1.359248
2015-01-11,01-11,2015,1,11,-4.389185,0.358844
2015-01-12,01-12,2015,1,12,-4.642853,-1.2365571
2015-01-13,01-13,2015,1,13,-3.0420413,-3.841242
2015-01-14,01-14,2015,1,14,-0.37014169,-2.3349388
2015-01-15,01-15,2015,1,15,0.6195072,1.4012563
2015-01-16,01-16,2015,1,16,1.414351,-1.5072247
2015-01-17,01-17,2015,1,17,3.3223622,-2.4663162
2015-01-18,01-18,2015,1,18,2.3624408,-0.9359365
2015-01-19,01-19,2015,1,19,0.26086828,-0.08237519
2015-01-20,01-20,2015,1,20,2.3595378,-0.8848978
2015-01-21,01-21,2015,1,21,3.3309839,-1.569504
2015-01-22,01-22,2015,1,22,4.127912,-3.3023465
2015-01-23,01-23,2015,1,23,3.7824943,-5.1972275
2015-01-24,01-24,2015,1,24,1.273731,-3.5053873
2015-01-25,01-25,2015,1,25,-1.4161186,-7.119844
2015-01-26,01-26,2015,1,26,-1.2328956,-1.7101192
2015-01-27,01-27,2015,1,27,-1.1531061,-5.056104
2015-01-28,01-28,2015,1,28,-1.3781407,-0.74727076
2015-01-29,01-29,2015,1,29,-1.1581933,-5.297967
2015-01-30,01-30,2015,1,30,-1.1763986,-5.3284106
2015-01-31,01-31,2015,1,31,-3.1247165,-2.9388068
2015-02-01,02-01,2015,2,1,-4.124924,-3.3582878
2015-02-02,02-02,2015,2,2,-5.906297,-2.4219005
2015-02-03,02-03,2015,2,3,-4.9557357,-1.9093351
2015-02-04,02-04,2015,2,4,-5.200732,-1.8987167
2015-02-05,02-05,2015,2,5,-3.7470615,-1.8361683
2015-02-06,02-06,2015,2,6,-0.40186024,-0.97521704
2015-02-07,02-07,2015,2,7,-4.3280787,-2.5463543
2015-02-08,02-08,2015,2,8,-5.451175,-2.0643134
2015-02-09,02-09,2015,2,9,-4.8260956,-2.6718247
2015-02-10,02-10,2015,2,10,-4.605086,-3.2827742
2015-02-11,02-11,2015,2,11,-4.275556,-1.8730196
2015-02-12,02-12,2015,2,12,-4.8104115,-0.38896456
2015-02-13,02-13,2015,2,13,-4.2709517,-4.4073114
2015-02-14,02-14,2015,2,14,-3.192691,-2.9277751
2015-02-15,02-15,2015,2,15,-1.9815432,-3.3144796
2015-02-16,02-16,2015,2,16,-3.5093236,-4.40577
2015-02-17,02-17,2015,2,17,-4.1316195,-2.947418
