salinity_sfile,temperature_sfile,pressure,lat,lon,date
,,0.1,-12.29,-86.75,2019-10-14
,,0.22,-12.29,-86.75,2019-10-14
,,0.5,-12.29,-86.75,2019-10-14
,,0.9,-12.29,-86.75,2019-10-14
,,1.1,-12.29,-86.75,2019-10-14
,,1.2,-12.29,-86.75,2019-10-14
,,1.4,-12.29,-86.75,2019-10-14
,19.612,1.5,-12.29,-86.75,2019-10-14
,19.612,1.6,-12.29,-86.75,2019-10-14
,19.612,1.8,-12.29,-86.75,2019-10-14
,19.612,2.0,-12.29,-86.75,2019-10-14
,19.612,2.2,-12.29,-86.75,2019-10-14
,19.612,2.4,-12.29,-86.75,2019-10-14
,19.612,2.5,-12.29,-86.75,2019-10-14
,19.612,2.6,-12.29,-86.75,2019-10-14
,19.612,2.8,-12.29,-86.75,2019-10-14
,19.612,3.0,-12.29,-86.75,2019-10-14
,19.612,3.42,-12.29,-86.75,2019-10-14
,19.612,3.5,-12.29,-86.75,2019-10-14
,19.6115,3.6,-12.29,-86.75,2019-10-14
,19.611,3.7,-12.29,-86.75,2019-10-14
,19.609501,4.0,-12.29,-86.75,2019-10-14
,19.6085,4.2,-12.29,-86.75,2019-10-14
,19.6075,4.4,-12.29,-86.75,2019-10-14
,19.607,4.5,-12.29,-86.75,2019-10-14
,19.606201,4.6,-12.29,-86.75,2019-10-14
,19.604601,4.8,-12.29,-86.75,2019-10-14
,19.603001,5.0,-12.29,-86.75,2019-10-14
,19.599001,5.5,-12.29,-86.75,2019-10-14
,19.598202,5.6,-12.29,-86.75,2019-10-14
,19.5958,5.9,-12.29,-86.75,2019-10-14
,19.5942,6.1,-12.29,-86.75,2019-10-14
,19.5926,6.3,-12.29,-86.75,2019-10-14
,19.591,6.5,-12.29,-86.75,2019-10-14
,19.589363,6.6,-12.29,-86.75,2019-10-14
,19.58609,6.8,-12.29,-86.75,2019-10-14
,19.582817,7.0,-12.29,-86.75,2019-10-14
,19.576273,7.4,-12.29,-86.75,2019-10-14
,19.573,7.6,-12.29,-86.75,2019-10-14
,19.5725,7.7,-12.29,-86.75,2019-10-14
,19.571501,7.9,-12.29,-86.75,2019-10-14
,19.570499,8.1,-12.29,-86.75,2019-10-14
,19.5695,8.3,-12.29,-86.75,2019-10-14
,19.568501,8.5,-12.29,-86.75,2019-10-14
,19.568001,8.6,-12.29,-86.75,2019-10-14
,19.566502,8.8,-12.29,-86.75,2019-10-14
,19.565001,9.0,-12.29,-86.75,2019-10-14
,19.563499,9.2,-12.29,-86.75,2019-10-14
,19.562,9.4,-12.29,-86.75,2019-10-14
,19.536945,9.92,-12.29,-86.75,2019-10-14
,19.509001,10.5,-12.29,-86.75,2019-10-14
,19.478001,11.12,-12.29,-86.75,2019-10-14
,19.454,11.6,-12.29,-86.75,2019-10-14
,19.42448,12.320001,-12.29,-86.75,2019-10-14
,19.413,12.6,-12.29,-86.75,2019-10-14
,19.388,13.6,-12.29,-86.75,2019-10-14
,19.38788,13.620001,-12.29,-86.75,2019-10-14
,19.382,14.6,-12.29,-86.75,2019-10-14
,19.381121,14.820001,-12.29,-86.75,2019-10-14
,19.378,15.6,-12.29,-86.75,2019-10-14
,19.37488,16.120001,-12.29,-86.75,2019-10-14
,19.372,16.6,-12.29,-86.75,2019-10-14
,19.369539,17.42,-12.29,-86.75,2019-10-14
,19.368999,17.6,-12.29,-86.75,2019-10-14
,19.367001,18.6,-12.29,-86.75,2019-10-14
,19.366901,18.620001,-12.29,-86.75,2019-10-14
,19.362,19.6,-12.29,-86.75,2019-10-14
,19.361361,19.92,-12.29,-86.75,2019-10-14
,19.360001,20.6,-12.29,-86.75,2019-10-14
,19.358961,21.120001,-12.29,-86.75,2019-10-14
,19.358,21.6,-12.29,-86.75,2019-10-14
,19.353901,22.42,-12.29,-86.75,2019-10-14
,19.353001,22.6,-12.29,-86.75,2019-10-14
,19.349001,23.6,-12.29,-86.75,2019-10-14
,19.348921,23.620001,-12.29,-86.75,2019-10-14
,19.344999,24.6,-12.29,-86.75,2019-10-14
,19.343399,24.92,-12.29,-86.75,2019-10-14
,19.34,25.6,-12.29,-86.75,2019-10-14
,19.338844,26.120001,-12.29,-86.75,2019-10-14
,19.337999,26.5,-12.29,-86.75,2019-10-14
,19.33144,27.32,-12.29,-86.75,2019-10-14
,19.33,27.5,-12.29,-86.75,2019-10-14
,19.319,28.5,-12.29,-86.75,2019-10-14
,19.31768,28.620001,-12.29,-86.75,2019-10-14
,19.308001,29.5,-12.29,-86.75,2019-10-14
,19.30512,29.82,-12.29,-86.75,2019-10-14
,19.299,30.5,-12.29,-86.75,2019-10-14
,19.293421,31.120001,-12.29,-86.75,2019-10-14
,19.290001,31.5,-12.29,-86.75,2019-10-14
,19.284037,32.32,-12.29,-86.75,2019-10-14
,19.282,32.599998,-12.29,-86.75,2019-10-14
,19.278999,33.599998,-12.29,-86.75,2019-10-14
,19.278976,33.619999,-12.29,-86.75,2019-10-14
,19.278,34.5,-12.29,-86.75,2019-10-14
,19.277065,34.920002,-12.29,-86.75,2019-10-14
,19.275999,35.400002,-12.29,-86.75,2019-10-14
,19.27354,36.220001,-12.29,-86.75,2019-10-14
,19.273001,36.400002,-12.29,-86.75,2019-10-14
,19.271999,37.400002,-12.29,-86.75,2019-10-14
,19.271891,37.52,-12.29,-86.75,2019-10-14
,19.271,38.5,-12.29,-86.75,2019-10-14
