salinity_sfile,temperature_sfile,pressure,lat,lon,date
,,0.1,-12.35,-86.94,2019-11-13
,,0.42,-12.35,-86.94,2019-11-13
,,0.6,-12.35,-86.94,2019-11-13
,,0.8,-12.35,-86.94,2019-11-13
,,1.1,-12.35,-86.94,2019-11-13
,19.219,1.5,-12.35,-86.94,2019-11-13
,19.219,1.6,-12.35,-86.94,2019-11-13
,19.219,1.9,-12.35,-86.94,2019-11-13
,19.219,2.1,-12.35,-86.94,2019-11-13
,19.219,2.3,-12.35,-86.94,2019-11-13
,19.219,2.5,-12.35,-86.94,2019-11-13
,19.2194,2.7,-12.35,-86.94,2019-11-13
,19.219841,2.92,-12.35,-86.94,2019-11-13
,19.2206,3.3,-12.35,-86.94,2019-11-13
,19.221001,3.5,-12.35,-86.94,2019-11-13
,19.221201,3.6,-12.35,-86.94,2019-11-13
,19.2216,3.8,-12.35,-86.94,2019-11-13
,19.222,4.0,-12.35,-86.94,2019-11-13
,19.222599,4.3,-12.35,-86.94,2019-11-13
,19.223,4.5,-12.35,-86.94,2019-11-13
,19.222778,4.7,-12.35,-86.94,2019-11-13
,19.222555,4.9,-12.35,-86.94,2019-11-13
,19.222221,5.2,-12.35,-86.94,2019-11-13
,19.222,5.4,-12.35,-86.94,2019-11-13
,19.222181,5.6,-12.35,-86.94,2019-11-13
,19.222454,5.9,-12.35,-86.94,2019-11-13
,19.222635,6.1,-12.35,-86.94,2019-11-13
,19.223,6.5,-12.35,-86.94,2019-11-13
,19.223181,6.6,-12.35,-86.94,2019-11-13
,19.223545,6.8,-12.35,-86.94,2019-11-13
,19.223909,7.0,-12.35,-86.94,2019-11-13
,19.224455,7.3,-12.35,-86.94,2019-11-13
,19.224819,7.5,-12.35,-86.94,2019-11-13
,19.225,7.6,-12.35,-86.94,2019-11-13
,19.224779,7.8,-12.35,-86.94,2019-11-13
,19.224556,8.0,-12.35,-86.94,2019-11-13
,19.224335,8.2,-12.35,-86.94,2019-11-13
,19.224001,8.5,-12.35,-86.94,2019-11-13
,19.223042,8.82,-12.35,-86.94,2019-11-13
,19.221001,9.5,-12.35,-86.94,2019-11-13
,19.221519,10.02,-12.35,-86.94,2019-11-13
,19.222,10.5,-12.35,-86.94,2019-11-13
,19.224161,11.22,-12.35,-86.94,2019-11-13
,19.225,11.5,-12.35,-86.94,2019-11-13
,19.225,12.5,-12.35,-86.94,2019-11-13
,19.225,12.52,-12.35,-86.94,2019-11-13
