salinity_sfile,temperature_sfile,pressure,lat,lon,date
,,0.1,-12.32,-87.02,2019-11-18
,,0.2,-12.32,-87.02,2019-11-18
,,0.3,-12.32,-87.02,2019-11-18
,,0.5,-12.32,-87.02,2019-11-18
,,1.1,-12.32,-87.02,2019-11-18
,,1.4,-12.32,-87.02,2019-11-18
,19.664,1.5,-12.32,-87.02,2019-11-18
,19.664,1.6,-12.32,-87.02,2019-11-18
,19.664,1.8,-12.32,-87.02,2019-11-18
,19.664,2.0,-12.32,-87.02,2019-11-18
,19.664,2.2,-12.32,-87.02,2019-11-18
,19.664,2.4,-12.32,-87.02,2019-11-18
,19.664,2.5,-12.32,-87.02,2019-11-18
,19.6621,2.6,-12.32,-87.02,2019-11-18
,19.6583,2.8,-12.32,-87.02,2019-11-18
,19.654499,3.0,-12.32,-87.02,2019-11-18
,19.6507,3.2,-12.32,-87.02,2019-11-18
,19.6469,3.4,-12.32,-87.02,2019-11-18
,19.645,3.5,-12.32,-87.02,2019-11-18
,19.641701,3.8,-12.32,-87.02,2019-11-18
,19.6395,4.0,-12.32,-87.02,2019-11-18
,19.6373,4.2,-12.32,-87.02,2019-11-18
,19.634001,4.5,-12.32,-87.02,2019-11-18
,19.631601,4.7,-12.32,-87.02,2019-11-18
,19.6292,4.9,-12.32,-87.02,2019-11-18
,19.625601,5.2,-12.32,-87.02,2019-11-18
,19.623199,5.4,-12.32,-87.02,2019-11-18
,19.622,5.5,-12.32,-87.02,2019-11-18
,19.617636,5.9,-12.32,-87.02,2019-11-18
,19.615456,6.1,-12.32,-87.02,2019-11-18
,19.613274,6.3,-12.32,-87.02,2019-11-18
,19.610001,6.6,-12.32,-87.02,2019-11-18
,19.608601,6.8,-12.32,-87.02,2019-11-18
,19.606501,7.1,-12.32,-87.02,2019-11-18
,19.605101,7.3,-12.32,-87.02,2019-11-18
,19.603701,7.5,-12.32,-87.02,2019-11-18
,19.603001,7.6,-12.32,-87.02,2019-11-18
,19.601444,7.8,-12.32,-87.02,2019-11-18
,19.59989,8.0,-12.32,-87.02,2019-11-18
,19.597557,8.3,-12.32,-87.02,2019-11-18
,19.596001,8.5,-12.32,-87.02,2019-11-18
,19.593901,8.8,-12.32,-87.02,2019-11-18
,19.592501,9.0,-12.32,-87.02,2019-11-18
,19.589001,9.5,-12.32,-87.02,2019-11-18
,19.58744,10.02,-12.32,-87.02,2019-11-18
,19.586,10.5,-12.32,-87.02,2019-11-18
,19.58354,11.32,-12.32,-87.02,2019-11-18
,19.583,11.5,-12.32,-87.02,2019-11-18
,19.580999,12.5,-12.32,-87.02,2019-11-18
,19.580959,12.52,-12.32,-87.02,2019-11-18
,19.579,13.5,-12.32,-87.02,2019-11-18
,19.579,13.82,-12.32,-87.02,2019-11-18
,19.579,14.5,-12.32,-87.02,2019-11-18
,19.576921,15.02,-12.32,-87.02,2019-11-18
,19.575001,15.5,-12.32,-87.02,2019-11-18
,19.575001,16.32,-12.32,-87.02,2019-11-18
,19.575001,16.5,-12.32,-87.02,2019-11-18
,19.573,17.6,-12.32,-87.02,2019-11-18
,19.57296,17.620001,-12.32,-87.02,2019-11-18
,19.570999,18.6,-12.32,-87.02,2019-11-18
,19.569933,18.92,-12.32,-87.02,2019-11-18
,19.568001,19.5,-12.32,-87.02,2019-11-18
,19.565601,20.219999,-12.32,-87.02,2019-11-18
,19.565001,20.4,-12.32,-87.02,2019-11-18
,19.566,21.4,-12.32,-87.02,2019-11-18
,19.565981,21.42,-12.32,-87.02,2019-11-18
,19.565001,22.4,-12.32,-87.02,2019-11-18
