salinity_sfile,temperature_sfile,pressure,lat,lon,date
,19.143,45.5,-12.36,-86.9,2019-11-08
,19.14044,45.82,-12.36,-86.9,2019-11-08
,19.135,46.5,-12.36,-86.9,2019-11-08
,19.13052,46.82,-12.36,-86.9,2019-11-08
,19.121,47.5,-12.36,-86.9,2019-11-08
,19.11236,47.82,-12.36,-86.9,2019-11-08
,19.094,48.5,-12.36,-86.9,2019-11-08
,19.084455,48.919998,-12.36,-86.9,2019-11-08
,19.069,49.599998,-12.36,-86.9,2019-11-08
,19.062244,49.919998,-12.36,-86.9,2019-11-08
,19.049999,50.5,-12.36,-86.9,2019-11-08
,19.042067,50.920002,-12.36,-86.9,2019-11-08
,19.033001,51.400002,-12.36,-86.9,2019-11-08
,19.01688,51.920002,-12.36,-86.9,2019-11-08
,19.002001,52.400002,-12.36,-86.9,2019-11-08
,18.979454,53.02,-12.36,-86.9,2019-11-08
,18.962,53.5,-12.36,-86.9,2019-11-08
,18.90844,54.02,-12.36,-86.9,2019-11-08
,18.858999,54.5,-12.36,-86.9,2019-11-08
,18.820709,55.02,-12.36,-86.9,2019-11-08
,18.778,55.599998,-12.36,-86.9,2019-11-08
,18.736399,56.119999,-12.36,-86.9,2019-11-08
,18.705999,56.5,-12.36,-86.9,2019-11-08
,18.62896,57.220001,-12.36,-86.9,2019-11-08
,18.599001,57.5,-12.36,-86.9,2019-11-08
,18.53504,58.32,-12.36,-86.9,2019-11-08
,18.521,58.5,-12.36,-86.9,2019-11-08
,18.487881,59.419998,-12.36,-86.9,2019-11-08
,18.485001,59.5,-12.36,-86.9,2019-11-08
,18.472,60.5,-12.36,-86.9,2019-11-08
,18.47176,60.52,-12.36,-86.9,2019-11-08
,18.459999,61.5,-12.36,-86.9,2019-11-08
,18.45796,61.619999,-12.36,-86.9,2019-11-08
,18.443001,62.5,-12.36,-86.9,2019-11-08
,18.44071,62.619999,-12.36,-86.9,2019-11-08
,18.422001,63.599998,-12.36,-86.9,2019-11-08
,18.419735,63.719997,-12.36,-86.9,2019-11-08
,18.405001,64.5,-12.36,-86.9,2019-11-08
,18.3764,64.720001,-12.36,-86.9,2019-11-08
,18.288,65.400002,-12.36,-86.9,2019-11-08
,18.266182,65.720001,-12.36,-86.9,2019-11-08
,18.212999,66.5,-12.36,-86.9,2019-11-08
,18.19796,66.82,-12.36,-86.9,2019-11-08
,18.166,67.5,-12.36,-86.9,2019-11-08
,18.161055,67.82,-12.36,-86.9,2019-11-08
,18.149,68.599998,-12.36,-86.9,2019-11-08
,18.146156,68.919998,-12.36,-86.9,2019-11-08
,18.141001,69.5,-12.36,-86.9,2019-11-08
,18.136801,69.919998,-12.36,-86.9,2019-11-08
,18.131001,70.5,-12.36,-86.9,2019-11-08
,18.122681,71.019997,-12.36,-86.9,2019-11-08
,18.115,71.5,-12.36,-86.9,2019-11-08
,18.106939,72.120003,-12.36,-86.9,2019-11-08
,18.101999,72.5,-12.36,-86.9,2019-11-08
,18.09552,73.220001,-12.36,-86.9,2019-11-08
,18.093,73.5,-12.36,-86.9,2019-11-08
,18.089399,74.220001,-12.36,-86.9,2019-11-08
,18.087999,74.5,-12.36,-86.9,2019-11-08
,18.080641,75.419998,-12.36,-86.9,2019-11-08
,18.08,75.5,-12.36,-86.9,2019-11-08
,18.065279,76.419998,-12.36,-86.9,2019-11-08
,18.063999,76.5,-12.36,-86.9,2019-11-08
,18.034327,77.519997,-12.36,-86.9,2019-11-08
,18.032,77.599998,-12.36,-86.9,2019-11-08
,18.01544,78.519997,-12.36,-86.9,2019-11-08
,18.014,78.599998,-12.36,-86.9,2019-11-08
,17.993044,79.419998,-12.36,-86.9,2019-11-08
,17.990999,79.5,-12.36,-86.9,2019-11-08
,17.97798,80.120003,-12.36,-86.9,2019-11-08
,17.969999,80.5,-12.36,-86.9,2019-11-08
,17.96784,80.620003,-12.36,-86.9,2019-11-08
,17.958839,81.120003,-12.36,-86.9,2019-11-08
,17.952,81.5,-12.36,-86.9,2019-11-08
,17.951237,81.620003,-12.36,-86.9,2019-11-08
,17.948053,82.120003,-12.36,-86.9,2019-11-08
,17.945,82.599998,-12.36,-86.9,2019-11-08
,17.9447,82.619995,-12.36,-86.9,2019-11-08
,17.937201,83.119995,-12.36,-86.9,2019-11-08
,17.93,83.599998,-12.36,-86.9,2019-11-08
,17.929356,83.619995,-12.36,-86.9,2019-11-08
,17.913244,84.120003,-12.36,-86.9,2019-11-08
