salinity_sfile,temperature_sfile,pressure,doxy
34.77,11.66,223.050003,
34.766998,11.622,225.050003,
34.76696,11.62188,225.089996,14.616917
34.764999,11.616,227.050003,
34.764999,11.613,229.050003,
34.765133,11.61111,229.320007,15.201446
34.765999,11.599,231.050003,
34.764,11.578,233.050003,
34.764,11.57448,233.690002,15.087369
34.764,11.567,235.050003,
34.763172,11.55704,236.710007,14.712074
34.763,11.555,237.050003,
34.762001,11.549,238.949997,
34.762001,11.53822,240.910004,14.058258
34.762001,11.538,240.949997,
34.763,11.52,243.050003,
34.761002,11.496,245.050003,
34.760952,11.4957,245.150009,13.460682
34.759998,11.49,247.050003,
34.761002,11.468,249.050003,
34.76083,11.463372,249.410004,12.498675
34.759998,11.441,251.150009,
34.758999,11.417,253.050003,
34.758667,11.413353,253.680008,11.587988
34.757999,11.406,254.949997,
34.757141,11.39568,256.669983,10.96136
34.757,11.394,256.949982,
34.757,11.378,259.049988,
34.756111,11.345942,260.919983,9.887066
34.756001,11.342,261.149994,
34.755001,11.32,263.149994,
34.752998,11.299,265.149994,
34.752987,11.298758,265.169983,8.803979
34.751999,11.276,267.049988,
34.750999,11.261,269.049988,
34.750824,11.256625,269.399994,7.848892
34.75,11.236,271.049988,
34.749001,11.221,273.049988,
34.749001,11.2084,273.75,7.321423
34.749001,11.185,275.049988,
34.746433,11.14738,276.759979,7.095351
34.745998,11.141,277.049988,
34.743999,11.12,279.049988,
34.743,11.112,281.049988,
34.74297,11.11143,281.109985,6.917249
34.742001,11.093,283.049988,
34.741001,11.078,285.049988,
34.740795,11.07431,285.459991,7.059607
34.740002,11.06,287.049988,
34.738998,11.026,289.049988,
34.738605,11.01494,289.839996,7.766295
34.737999,10.998,291.049988,
34.736111,10.972485,292.940002,7.652592
34.736,10.971,293.049988,
34.735001,10.943,295.049988,
34.733002,10.919,297.049988,
34.732693,10.914969,297.359985,7.375874
34.730999,10.893,299.049988,
34.73,10.869,301.049988,
34.729279,10.8618,301.769989,6.671736
34.728001,10.849,303.049988,
34.727081,10.8398,304.889984,6.406346
34.727001,10.839,305.049988,
34.727001,10.824,307.049988,
34.724998,10.804,309.049988,
34.724884,10.8017,309.279999,5.752138
34.723999,10.784,311.049988,
34.723,10.757,313.049988,
34.721966,10.747684,313.73999,4.967699
