salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
34.661999,11.362,188.25,10.724523,9.25,177.46,2024-08-15
34.671001,11.307,190.25,10.005426,9.25,177.46,2024-08-15
34.675999,11.254,192.25,9.603621,9.25,177.46,2024-08-15
34.68,11.207,194.25,9.271246,9.25,177.46,2024-08-15
34.683998,11.157,196.25,9.274321,9.25,177.46,2024-08-15
34.686001,11.118,198.25,9.494152,9.25,177.46,2024-08-15
34.688,11.076,200.350006,9.962367,9.25,177.46,2024-08-15
34.688,11.047,202.25,10.565104,9.25,177.46,2024-08-15
34.687,11.023,204.25,11.542593,9.25,177.46,2024-08-15
34.685001,10.957,206.25,12.323242,9.25,177.46,2024-08-15
34.683998,10.919,208.25,12.78352,9.25,177.46,2024-08-15
34.682999,10.905,210.25,13.459124,9.25,177.46,2024-08-15
34.681,10.862,212.25,14.261875,9.25,177.46,2024-08-15
34.679001,10.821,214.25,14.642227,9.25,177.46,2024-08-15
34.679001,10.8,216.25,14.968513,9.25,177.46,2024-08-15
34.675999,10.739,218.25,14.744924,9.25,177.46,2024-08-15
34.679001,10.734,220.25,14.519129,9.25,177.46,2024-08-15
34.68,10.705,222.25,15.035657,9.25,177.46,2024-08-15
34.679001,10.679,224.25,15.362861,9.25,177.46,2024-08-15
34.678001,10.66,226.25,15.59973,9.25,177.46,2024-08-15
34.678001,10.637,228.25,16.214085,9.25,177.46,2024-08-15
34.675999,10.614,230.25,16.785656,9.25,177.46,2024-08-15
34.674999,10.599,232.25,17.55007,9.25,177.46,2024-08-15
34.673,10.572,234.25,18.802792,9.25,177.46,2024-08-15
34.671001,10.504,236.25,20.139332,9.25,177.46,2024-08-15
34.667999,10.463,238.25,21.049623,9.25,177.46,2024-08-15
34.667,10.426,240.25,21.829454,9.25,177.46,2024-08-15
34.667,10.374,242.25,21.786451,9.25,177.46,2024-08-15
34.667,10.356,244.25,21.606857,9.25,177.46,2024-08-15
34.667999,10.345,246.25,21.421467,9.25,177.46,2024-08-15
34.667,10.335,248.25,21.012724,9.25,177.46,2024-08-15
34.667999,10.315,250.25,20.624229,9.25,177.46,2024-08-15
34.667,10.273,252.25,20.378077,9.25,177.46,2024-08-15
34.667,10.223,254.25,20.199484,9.25,177.46,2024-08-15
34.667999,10.195,256.25,20.092636,9.25,177.46,2024-08-15
34.667999,10.187,258.25,20.128706,9.25,177.46,2024-08-15
34.667,10.179,260.25,20.273008,9.25,177.46,2024-08-15
34.666,10.152,262.25,20.506618,9.25,177.46,2024-08-15
34.666,10.109,264.25,21.688515,9.25,177.46,2024-08-15
34.664001,10.04,266.25,23.653982,9.25,177.46,2024-08-15
34.662998,9.99,268.25,23.660154,9.25,177.46,2024-08-15
34.662998,9.979,270.25,23.506319,9.25,177.46,2024-08-15
34.661999,9.977,272.25,23.294563,9.25,177.46,2024-08-15
34.661999,9.946,274.25,23.10117,9.25,177.46,2024-08-15
34.660999,9.942,276.25,23.005806,9.25,177.46,2024-08-15
34.660999,9.935,278.25,23.144968,9.25,177.46,2024-08-15
34.659,9.91,280.25,23.583559,9.25,177.46,2024-08-15
34.658001,9.871,282.25,23.74091,9.25,177.46,2024-08-15
34.657001,9.851,284.25,23.533237,9.25,177.46,2024-08-15
34.655998,9.84,286.25,23.349319,9.25,177.46,2024-08-15
34.655998,9.813,288.25,23.247238,9.25,177.46,2024-08-15
34.654999,9.797,290.25,23.254211,9.25,177.46,2024-08-15
34.654999,9.781,292.25,23.34856,9.25,177.46,2024-08-15
34.654999,9.771,294.25,23.603392,9.25,177.46,2024-08-15
34.653999,9.762,296.25,24.095945,9.25,177.46,2024-08-15
34.653999,9.733,298.25,24.692476,9.25,177.46,2024-08-15
34.653,9.699,300.25,24.756584,9.25,177.46,2024-08-15
34.653,9.672,302.25,24.909441,9.25,177.46,2024-08-15
34.653,9.661,304.25,25.253965,9.25,177.46,2024-08-15
34.652,9.647,306.25,26.011398,9.25,177.46,2024-08-15
34.651001,9.622,308.25,26.716955,9.25,177.46,2024-08-15
34.650002,9.591,310.25,26.966488,9.25,177.46,2024-08-15
34.650002,9.579,312.25,26.98575,9.25,177.46,2024-08-15
34.648998,9.57,314.25,26.599445,9.25,177.46,2024-08-15
34.648998,9.56,316.25,26.082832,9.25,177.46,2024-08-15
34.647999,9.555,318.25,25.506798,9.25,177.46,2024-08-15
34.646999,9.542,320.25,24.803337,9.25,177.46,2024-08-15
34.646,9.506,322.25,24.397741,9.25,177.46,2024-08-15
34.645,9.488,324.25,24.288792,9.25,177.46,2024-08-15
34.644001,9.455,326.25,24.269518,9.25,177.46,2024-08-15
34.643002,9.434,328.350006,24.329268,9.25,177.46,2024-08-15
34.643002,9.427,330.350006,24.290497,9.25,177.46,2024-08-15
34.643002,9.425,332.25,24.322176,9.25,177.46,2024-08-15
34.641998,9.412,334.25,24.541744,9.25,177.46,2024-08-15
