month,wsu,wsv
1,-0.7525478522020064,-0.2371104409009071
2,-0.744801605691082,-0.19038888510066915
3,-0.7259984767395911,-0.18588164521634873
4,-0.5611313044316673,-0.0564858192932856
5,-0.4718093171379279,-0.02317125815152368
6,-0.2864087397616412,-0.013649183900976889
7,-0.0467892540972527,0.006266162411008792
8,-0.004684316036649286,0.025377776707864428
9,0.011649074117700026,0.02057916040765715
10,0.00557297747685602,0.01782048897627645
11,-0.12250098674568916,-0.008259256144596447
12,-0.38128243403907275,-0.09630713923469958
