month,wsu,wsv
1,0.11517638785409537,-0.1222015969927002
2,0.007140959082925959,-0.127032907928444
3,0.0070815300129160865,-0.09747308817921045
4,-0.011215266352157579,-0.02251412104121658
5,-0.04785779637608775,0.0039757449262462245
6,-0.049433553904948226,0.025472663766844067
7,-0.026370149815936016,0.08293940327735888
8,-0.07982525567399203,0.15825339917360806
9,-0.09001228374055602,0.11330657599097178
10,-0.03397344376223011,0.02893961463785936
11,-0.005288692877408619,-0.0014245436682710434
12,0.08944954525395692,-0.03153608046513935
