month,wsu,wsv
1,-1.2829671148148742,-0.18234173426721498
2,-1.2337870302767222,-0.16903358875824462
3,-1.4207739049676378,-0.25977225409429
4,-1.3278121182523663,-0.2319931524333457
5,-1.0163346385883207,-0.1489506038961313
6,-0.7425202134953743,-0.0680493867637625
7,-0.3899213292407723,-0.024897733854569754
8,-0.15622315038323645,0.01363744478516184
9,-0.16837469799973273,0.048433743975885096
10,-0.1317946255269337,0.04748387311671456
11,-0.3981230467742537,0.02380141802688587
12,-1.0004337463535722,-0.04696216524417309
