month,wsu,wsv
1,-1.2954131040350314,-0.024195952411651185
2,-1.1600685427609652,-0.05175610037108627
3,-1.1309214266848577,-0.03768632590691772
4,-0.8829777358070658,-0.028541654023471884
5,-0.7865843723650735,-0.010524392796663855
6,-0.8519114895127681,-0.001649827551995856
7,-0.977539084859078,0.006885056356568351
8,-1.033981815301981,0.007842118674937086
9,-1.0020747438522235,0.005821395694775821
10,-0.7948342661415364,0.011341802147024212
11,-0.8083476250036508,0.004418447707253816
12,-1.0618735715930079,-0.014466651859196933
