month,wsu,wsv
1,0.16040020606960642,-0.17734722292300428
2,0.17906259122187979,-0.1504906734758744
3,0.11793821961668899,-0.14913804925157587
4,-0.0013099824793229506,-0.01709596216439161
5,-0.06592050084314656,0.03619620033862589
6,-0.15522706332563807,0.150823473664861
7,-0.21026405004786883,0.299443015530916
8,-0.3126148842452049,0.3892866926453254
9,-0.23439005397060242,0.2471720583300999
10,-0.12838845417249825,0.0688948278614951
11,-0.053808722206785856,0.007257798880886108
12,0.051787260593761944,-0.027143441419270827
