month,wsu,wsv
1,-0.1653101923167245,-0.10372529435713577
2,-0.2965760285941114,-0.1688070983310649
3,-0.34601640277624646,-0.06509733642395958
4,-0.28442197550880916,-0.04265227596601392
5,-0.23165946533424092,-0.00963880907992521
6,-0.1864617413554502,0.0006410330982455123
7,-0.09924618825030675,0.0010931277300841567
8,-0.06192686967304828,0.00931281435715157
9,-0.07767611950154468,0.0030776760836223388
10,-0.08028629024880385,0.004290993086586143
11,-0.05218029349474915,-0.0038508180177232692
12,-0.021809129889503186,-0.0662844832532842
