month,wsu,wsv
1,-0.44678358612953856,-0.36544611703941887
2,-0.37506168800226924,-0.297151840595602
3,-0.6360061832656362,-0.24591477800151626
4,-0.5274136828254271,-0.0791688270100993
5,-0.5777864122536529,-0.04759693675249752
6,-0.7604176776970611,-0.013095793393076996
7,-1.1892630036280363,0.0007271246026895933
8,-1.2024103429803328,-0.0019864395783776765
9,-1.1105795934238172,-0.013409355945790312
10,-0.6395869155095666,-0.06810867981844579
11,-0.5508260489108384,-0.1191255905314337
12,-0.3929827582417141,-0.22572474027873848
