month,wsu,wsv
1,-0.21390158715984292,-0.14656513672347413
2,-0.2881930800523468,-0.09260447098158725
3,-0.22893429641791158,-0.0706981974582962
4,-0.15042355978380986,-0.0193597196228394
5,-0.13517295168190926,-0.006825955025225718
6,-0.032387814943044456,-0.002384120717231416
7,0.0035783889129088167,0.01603368437494979
8,-0.008365209496102307,0.0513961690840463
9,-0.01788251214733973,0.04492080366118194
10,-0.009111065521054087,0.03196368992151907
11,-0.019981479129813406,0.005719985385032697
12,-0.05401107874905412,-0.044725853748996555
