month,wsu,wsv
1,-0.7549368395329201,-0.08025435841247365
2,-0.8291157523930361,-0.10580514627065601
3,-0.9388622167463627,-0.05889281259207918
4,-0.8262634271258839,-0.058188245277562264
5,-0.7096189562902855,-0.02156918853291264
6,-0.7143792914650412,-0.0023344468001227172
7,-0.6362645446787354,0.0008472264931466983
8,-0.5315494017579222,0.010396549563204955
9,-0.634110513781421,0.003732102619664884
10,-0.35965891396158545,0.006202660225888986
11,-0.46549683007904025,0.001726696705513435
12,-0.523997345180332,-0.03738464506943429
