month,wsu,wsv
1,-0.027500301050546502,-0.06706365721147158
2,-0.07273421969202674,-0.08297066586322585
3,-0.08484794433666185,-0.03504595685072333
4,-0.10044172155662824,-0.018224872655723187
5,-0.06719843001719959,-0.0022823297062490333
6,-0.026873355761037138,0.006820171131454343
7,-0.006901071629324062,0.026567339412240078
8,-0.04599727256536434,0.07704717818963396
9,-0.027813220321126722,0.04960307896777097
10,-0.016939645360199845,0.022040681248341996
11,-0.009333478692461802,-0.004318657826789375
12,0.015864819436886054,-0.04134733140975848
