month,wsu,wsv
1,-1.3736926159978327,-0.04433925665777666
2,-1.2982886685791935,-0.10805064275487447
3,-1.4460899121832278,-0.1779340668459166
4,-1.3985176028336277,-0.25263345733125414
5,-1.1851758466356233,-0.135394692931105
6,-0.75182607274565,-0.03113229251066037
7,-0.6319775608939866,-0.0009530663774583318
8,-0.4346653014307266,0.09366945301346209
9,-0.3298213287856689,0.16478399926748513
10,-0.28334523498803366,0.16400755295008373
11,-0.5563622920821812,0.11308909664010933
12,-1.1556432944583501,0.0010281492513161713
