month,wsu,wsv
1,-1.4071814412262615,-0.014198304219791319
2,-1.24421217764522,-0.044339932091129616
3,-1.2541322569060236,-0.06336650146409935
4,-0.9741337369893567,-0.056686505719803576
5,-0.8089334964816315,-0.00935854714957805
6,-0.7097645181663627,0.009326276678868055
7,-0.8457519153986703,0.02522175839946058
8,-0.982374623914033,0.05189801688213869
9,-0.9220687942680299,0.047969486491661294
10,-0.6559830861997269,0.05743264828955409
11,-0.8357153110322905,0.03958121398564535
12,-1.2214818860559011,0.005432424097502249
