month,wsu,wsv
1,-1.0018859960954292,-0.19494679943335302
2,-0.9579086087379409,-0.19175162952298327
3,-0.9642841555080784,-0.1852223587074936
4,-0.7781995713164828,-0.10979311842048818
5,-0.7807340127169108,-0.06554926737408194
6,-0.8834036940348412,-0.027279578423288913
7,-1.1111820875847649,-0.01152681987367469
8,-1.1083168125746807,-0.0026274069221547806
9,-1.145952356604137,-0.008586943541966182
10,-0.7315618786073219,-0.02249514960830049
11,-0.7448047952646627,-0.049189966701977256
12,-0.8880957878755155,-0.11888026389041818
