month,wsu,wsv
1,-0.4519684508797434,-0.0836042475470424
2,-0.5520138312091833,-0.08513305622483397
3,-0.460693519721783,-0.03618952357859018
4,-0.31788700989145174,-0.021644232990278327
5,-0.27912576658649524,-0.005650982369893289
6,-0.14068103603270415,-0.0012230443249563526
7,-0.08654174982056799,0.004286234478526474
8,-0.05874814395106275,0.016899862904044063
9,-0.08119208693696876,0.016985203269037876
10,-0.07391440267222944,0.01271213963065445
11,-0.11583630850212494,0.014638733949721363
12,-0.1906335797715127,-0.0360430246130822
